CONFIG0001	true
; Interact with coffin
BLACKC0003	Είναι πολύ βαρύ για να κινηθεί. Η επιφάνεια είναι θερμή... κάνει μια μικρή δόνηση.
; Use anything with the coffin
BLACKC0023	Είναι απλά ένα μεγάλο βαρύ φέρετρο. Δεν νομίζω ότι μπορώ να χρησιμοποιήσω τίποτα πάνω του.

; Look at broken panel
BLACKC0004	Υπάρχει ένα μύνημα στο πλάισιο, "Λάθος σύνδεση".
; Interact with broken panel
BLACKC0005	Δεν μπορώ να το κάνω να δουλέψει.
; Look at fixed panel
BLACKC0006	Τώρα το πλαίσιο φαίνεται να δουλεύει.
; Use items on the panel (bear in mind by the time you have any item to use you're already finished with the panel)
BLACKC0024	Δεν νομίζω το πλαίσιο να χρησιμεύει σε τίποτα άλλο.

; Look at split wires
BLACKC0007	Τα καλώδια δεν φάινονται να έχουν συνδεθεί σωστά.
; Interact with split wires
BLACKC0008	Εντάξει... Σύνδεσα τα καλώδια.
; Look at joined wires
BLACKC0009	Είναι συνδεδεμένα τώρα.
; Interact with joined wires
BLACKC0010	Τα έχω ήδη επιδιορθώσει.
; Use items on the wires
BLACKC0025	Δεν νομίζω ότι πρέπει να κάνω τίποτα άλλο με αυτά τα καλώδια.

; Windows open to reveal space outside
BLACKC0011	Τί στο διάβολο? Βρίσκομαι στο διάστημα!

; Door opens to reveal a way out
BLACKC0012	Φαίνεται ότι υπάρχει μιά διέξοδος από 'δώ.

; Look at windows
BLACKC0013	Αυτό σίγουρα είναι το διάστημα, αλλά δεν βλέπω ίχνος άλλου σκάφους.
; Interact with windows
BLACKC0014	Τα παράθυρα είναι ερμετικά κλειστά. Εκτός αυτού, εάν τα έσπαγα θα απορροφιόμουν έξω στο διάστημα.
; Use items on windows
BLACKC0026	Δεν θέλω να χρησιμοποιήσω τίποτα πάνω στα παράθυρα. Έχω δεί τι κάνει η έκρηξη αποσυμπίεσης στους ανθρώπους.

; //////////////////////////////////////////////////////////////////////
; 02 - NAVIGATION CENTRE
; //////////////////////////////////////////////////////////////////////

; Room Regions
NAVCEN0001	Πόρτα
NAVCEN0002	Πίνακας
NAVCEN0003	Κονσόλα
NAVCEN0004	Λεκέδες

; Navigation Console Regions
NAVCEN0005	Το αφήνω
NAVCEN0006	Περιστροφή προς τ'αριστερά
NAVCEN0007	Περιστροφή προς τα δεξιά
NAVCEN0008	Έναρξη
NAVCEN0009	Τέλος

; Cradle Console Regions
NAVCEN0010	Το αφήνω
NAVCEN0011	Κλειδαριά ασφαλείας
NAVCEN0012	Κατεβάζει τον γάντζο
NAVCEN0013	Ανεβάζει τον γάντζο
NAVCEN0025	Επιστροφή αδύνατη
NAVCEN0026	Κλειδαριά ασφαλείας ενεργοποιημένη
NAVCEN0027	Κλειδαριά ασφαλείας απενεργοποιημένη
NAVCEN0028	Οθόνη

; Look at console
NAVCEN0014	Φαίνεται να είναι κάποιο είδος κονσόλας πλοήγησης. Πρέπει κάπως να ελέγχει την βάση.
; Try to use console while it has no power
NAVCEN0015	Δεν φαίνεται να δουλεύει προς το παρόν. Χρειάζεται να βρώ ένα τρόπο να της δώσω ρεύμα.
; Use items with console
NAVCEN0016	Αμφιβάλλω αυτό να με βοηθήσει.
; SUBTITLE - Console Title
NAVCEN0024	Περιστροφή της Βάσης και Χειριστήρια Ηλιακής Ενέργειας.

; Look at stains
NAVCEN0017	Τί είναι αυτοί οι λεκέδες στο πάτωμα; Έχει και στο τοίχο;! Μοιάζει με αίμα!
; Touch stains
NAVCEN0018	Ότι και να 'ναι, φαίνονται να έχουν ποτίσει την επιφάνεια. Τί συνέβη εδώ;
; Use items with stains
NAVCEN0019	Για ποιό λόγο;

; Look at wall panel
NAVCEN0020	Είμαι σίγουρη ότι αυτό ελέγχει κάποιο σύστημα με γάντζο το οποίο ανυψώνει ένα μέρος της βάσης... γιατί άραγε το ξέρω αυτό;
; Try to use wall panel while it has no power
NAVCEN0021	Δεν πρέπει να έχει ρεύμα.
; Use items with wall panel
NAVCEN0022	Δεν μπορώ να χρησιμοποιήσω τίποτα εδώ. Δεν υπάρχει κανένα άνοιγμα ή κάτι ανάλογο.
; Look at wall panel display
NAVCEN0029	Φαίνεται ότι αυτό το τμήμα της βάσης μπορεί να ανυψωθεί.
; Use wall panel display
NAVCEN0030	Νομίζω ότι ελέγχεται με τα κάτω πλήκτρα.

; Try to walk through top door with power down (Player has been tampering with the power system if this has happened)
NAVCEN0023	Περίεργο, δεν ανοίγει. Φαντάζομαι θα είναι κάποιο πρόβλημα με τον ηλεκτρισμό.

; //////////////////////////////////////////////////////////////////////
; 03 - STORE ROOM
; //////////////////////////////////////////////////////////////////////

; Room Regions
STORER0001	Περιοδικό
STORER0002	Κονσόλα
STORER0003	Οθόνη
STORER0004	Πόρτα
STORER0005	Μπλούζα εργαστηρίου
STORER0006	Σκάνερ
STORER0007	Πόρτα
STORER0008	Εκρηκτικό
STORER0009	Καταψύκτης

; MES Article Regions
STORER0010	Το αφήνω

; Can't reach various objects because of the locked gate
STORER0011	Δεν μπορώ να δω καλά από εδώ.
; Can't properly see various objects because of the locked gate
STORER0012	Δεν μπορώ να το φτάσω μέσα από τα κάγκελα.

; Look at explosive
STORER0013	Ένα μεταλλικό κουτί με δυνατό εκρηκτικό.
; Use axe on explosive

; Use items on the explosive
STORER0014	Κακή ιδέα να προσπαθήσω να επέμβω πάνω του με αυτό.

; Look at big freezer door
STORER0015	Αυτή η μεγάλη πόρτα πρέπει να οδηγεί στο καταψύκτη.
; Attempt to go through door while it's closed
STORER0016	Δεν μπορώ να μπω όταν η πόρτα είναι κλειστή.

; Look at closed gate
STORER0017	Αυτή η πόρτα με εμποδίζει να μπω στην αποθήκη.
; Touch gate
STORER0018	Πρέπει να είναι αρκετά γερή.
; Use items on gate
STORER0019	Νομίζω ότι το μόνο που θ'ανοίξει αυτή τη πόρτα είναι το σκάνερ.

; Look at lab coat
STORER0021	Μια βρώμικη μπλούζα, σαν να 'χει κάτι στην τσέπη.
; Look at empty lab coat
STORER0020	Η μπλούζα είναι άδεια τώρα, και δεν τη χρειάζομαι.
; Search lab coat
STORER0023	Η τσέπη περιέχει μια λευκή ταυτότητα και κάτι σαν κλειδί υπερισχύς.
; Search empty lab coat
STORER0022	Δεν περιέχει τίποτ'άλλο η μπλούζα και βρωμάει σαν να την αλείψανε με κόπρανα , γι'αυτό θα την αφήσω.
; Use items on lab coat
STORER0024	Δεν νομίζω ότι η χρήση τυχαίων αντικειμένων πάνω στη μπλούζα θα οδηγήσει πουθενά.

; Look at MES console
STORER0026	Ένα M.E.S. Μια πραγματικά πολύ παλιά κονσόλα ηλεκτρονικών παιχνιδιών.
; Use MES console 1st time
STORER0027	Δεν έχω χρόνο να παίζω παιχνίδια.
; Use MES console 2nd time (The comment about dying in games here is a vital clue)
STORER0028	Δεν θέλω. Αυτά τα παλιά παιχνίδια είναι πολύ χαζά. Συνεχίζουν ατέλειωτα μέχρι να πεθάνεις ή να πετάξεις το χειριστήριο στο τοίχο.
; Use MES console 3rd time (This comment leads into a game easter egg)
STORER0029	Τέλος πάντων, ασ'του ρίξω μια ματιά. Τί μπορεί να μου κάνει;
; Use MES console 4th time onwards
STORER0030	Όχι πάλι... Όχι μετά απ'αυτό που έγινε!
; Use items with MES console
STORER0025	Έχει ήδη ένα παιχνίδι μέσα.

; Look at MES magazine
STORER0036	Είναι ένα περιοδικό για ηλεκτρονικά παιχνίδια ρετρό.
; Use items on MES magazine
STORER0037	Αυτό είναι μάταιο. Ένα περιοδικό είναι.

; Look at screen
STORER0038	Μια οθόνη συνδεδεμένη με την παλιά κονσόλα. Δεν βγάζω τί δείχνει η εικόνα.
; Take screen
STORER0039	Αμφιβάλλω να μπορώ να τη κατεβάσω χωρίς να τη σπάσω.
; Use items on screen
STORER0040	Για ποιό λόγο να το κάνω αυτό;

; Look at scanner
STORER0032	Είναι ένα σκάνερ ταυτοτήτων για τη πόρτα.
; Use scanner
STORER0033	Πρέπει να χρησιμοποιήσω ταυτότητα.
; Use unprogrammed ID card on scanner
STORER0031	Δεν δούλεψε, μάλλον η ταυτότητα δεν είναι κωδικοποιημένη με εγκεκριμένο δείγμα DNA.
; Use override key on scanner
STORER0034	Λειτουργεί με ταυτότητα, όχι αυτό το είδος κλειδιού.
; Use any other items on scanner
STORER0035	Αυτό δεν χωράει στο σκάνερ.

; Return from MES world
STORER0041	Γύρισα! Δεν θέλω ούτε να μάθω τί συνέβει!.


; //////////////////////////////////////////////////////////////////////
; 04 - COMPUTER ROOM
; //////////////////////////////////////////////////////////////////////

; Room regions
COMPUT0001	Πόρτα
COMPUT0002	Μηχάνημα εκτελών έργο σε σειρά
COMPUT0003	Εφεδρική μονάδα
COMPUT0004	Αριστερός υπολογιστής
COMPUT0005	Δεξιός υπολογιστής

; Backup panel regions
COMPUT0006	Αφήνω τη μονάδα
COMPUT0007	Κλειδαριά
COMPUT0008	Κενή πλάκα
COMPUT0009	Κλειδί υπερισχύς
COMPUT0055	Επικοινωνία
COMPUT0056	Ιατρικά συστήματα
COMPUT0057	Ανυψωτικό γάντζο
COMPUT0058	Περιστροφή βάσης
COMPUT0059	Διατήρηση ζωής
COMPUT0060	Αναμονή
COMPUT0061	Εν λειτουργία
COMPUT0062	Σφάλμα

; E-Mail computer regions
COMPUT0010	Το αφήνω
COMPUT0011	Μύνημα 1
COMPUT0012	Μύνημα 2
COMPUT0013	Μύνημα 3
COMPUT0014	Μύνημα 4

; Droid computer regions
COMPUT0015	Κόκκινο
COMPUT0016	Πράσινο
COMPUT0017	Μοβ
COMPUT0018	Κίτρινο
COMPUT0019	Άσπρο
COMPUT0020	Μπλε
COMPUT0021	Το αφήνω

; Look at back up unit
COMPUT0022	Πρέπει να είναι μονάδα που προμηθεύει μερικά συστήματα με εφεδρική ενέργεια.
; Use back up panel once power has been restored to station
COMPUT0023	Τώρα που έδωσα ρεύμα στη βάση αυτό το εφεδρικό σύστημα είναι κάπως περιττό.
; Use override key on backup panel as a whole
COMPUT0024	Πρέπει να πάω πιο κοντά.
; Use anything else on backup panel as a whole
COMPUT0025	Δεν μπορώ να κάνω τίποτα αν δεν πλησιάσω.

; Look at DNA sequencer
COMPUT0026	Είναι ένας κωδικοποιητής DNA, ο οποίος αποθηκεύει πληροφορίες πάνω σε ταυτότητες.
; Touch DNA sequencer
COMPUT0027	Δεν θα κάνω τίποτα χωρίς ένα καθαρό δείγμα DNA.
; Insert ID card without DNA sample
COMPUT0028	Μάλλον δεν θα δουλέψει αν δεν εισάγω πρώτα ένα δείγμα DNA.
; Insert DNA sample
COMPUT0029	Εντάξει. Τώρα πρέπει να βάλω την κάρτα προς προγραμματισμό.
; Insert ID card after DNA sample
COMPUT0030	Πρέπει να γράφτηκαν οι πληροφορίες του δείγματος πάνω στη κάρτα.
; Insert already programmed ID card
COMPUT0031	Η κάρτα έχει ήδη προγραμματιστεί.

; Look at communications computer
COMPUT0032	Είναι μια κονσόλα επικοινωνίας.
; Use communications computer without power
COMPUT0033	Δεν δουλεύει. Μάλλον δεν έχει ρεύμα.
; SUBTITLE - Initial computer screen
COMPUT0042	Κονσόλα Επικοινωνίας - Επιλέξτε μύνημα.
; Girl summarises first computer message
COMPUT0043	Φαίνεται ότι κάποιος προσπαθούσε να στείλει ένα σήμα κινδύνου αλλά δεν μεταδόθηκε.
; Girl summarises second computer message
COMPUT0044	Απ'ότι λέει υπάρχει ένα σημείωμα κάπου με το οποίο ξεκλειδώνει το λογισμικό του ρομπότ.
; Girl summarises third computer message
COMPUT0045	Αυτό μοιάζει με κάτι σαν διαφήμιση για μια συναυλία.
; Girl summarises fourth computer message
COMPUT0046	Το μύνημα ρωτάει για πληροφορίες πάνω σε ένα αγνοούμενο σκάφος.


; Look at override key in the backup unit
COMPUT0034	Αυτο είναι το κλειδί που έβαλα.

; Look at slot in backup unit
COMPUT0035	Μοιάζει με κάτι σαν κλειδαριά.
; Use slot in backup unit
COMPUT0036	Πρέπει να βάλω το σωστό κλειδί.

; Look at life support slot
COMPUT0037	Είναι η μόνη άδεια υποδοχή της μονάδας.
; Use life support slot
COMPUT0038	Είναι ήδη σε λειτουργία. Ευτυχώς.
; Use override key on life support slot
COMPUT0039	Φαίνεται ότι η διατήρηση ζωής βρίσκεται πάντα σε λειτουργία. Έτσι κι'αλλιώς θα ήταν βλακεία να την απενεργοποιήσω.

; Look at droid computer
COMPUT0040	Γαμώτο! Δεν έχει ρεύμα.
; Use droid computer without power
COMPUT0041	Λέει ότι είναι πίνακας ελέγχου ενός ρομπότ.
; SUBTITLE - Droid control console
COMPUT0047	Πίνακας Ελέγχου Ρομπότ - Εισάγετε μια ακολουθία χρωμάτων

; Look at analyser
COMPUT0048	Αυτή η κονσόλα χρησιμοποιείται σαν αναλυτή.
; SUBTITLE - Analyser
COMPUT0049	Αναλυτής Δειγμάτων - Απενεργοποιημένο λόγω εισαγωγής ανθρώπινου DNA.
; Look at analyser compartment
COMPUT0050	Είναι κάτι σαν θήκη.
' Girl's comment when opening compartment
COMPUT0051	Με προειδοποιεί ότι μπορεί να έιναι επικίνδυνο. Δεν νομίζω ότι είναι καλή ιδέα να το ακουμπήσω.
; Look at wire
COMPUT0052	Αυτό το καλώδιο πρέπει να ελέγχει την υπερισχύ ασφαλείας.
; Take wire
COMPUT0053	Χρειάζομαι κάτι κοφτερό για να το κόψω.
; Try to use axe with wire
COMPUT0054	Είναι πολύ μεγάλο για να χωρέσει. Χρειάζομαι κάτι μικρότερο.


; //////////////////////////////////////////////////////////////////////
; 05 - LIVING ROOM
; //////////////////////////////////////////////////////////////////////

; Room regions
LIVING0001	Αλυσίδα
LIVING0002	Ψυγείο
LIVING0003	Χάσμα
LIVING0004	Ανθρώπινος Κορμός
LIVING0005	Πόρτα
LIVING0006	Διακόπτης
LIVING0007	Ντουλάπι
LIVING0008	Οθόνη βίντεο
LIVING0009	Πυροσβεστήρας

; Left cupboard regions
LIVING0010	Κουτάκι αναψυκτικού
LIVING0011	Παράξενο κουτί
LIVING0012	Μουχλιασμένα φαγητά
LIVING0013	Κουτι γεύματος
LIVING0014	Σκουπίδια
LIVING0015	Το αφήνω

; Right cupboard regions
LIVING0016	Χέρι
LIVING0017	Δίσκος Βίντεο
LIVING0018	Το αφήνω

; Look at chain
LIVING0019	Αυτή η αλυσίδα κρατάει αυτό το παράξενο ψυγείο.
; Break chain with hands
LIVING0020	Αμφιβάλλω να μπορώ να τη σπάσω με τα χέρια μου.
; Axe chain with chasm closed
LIVING0021	Έτσι θα έπεφτε το ψυγείο. Αλλά στο πάτωμα θα βρωμούσε περισσότερο. Καλύτερα να βρώ πρώτα ένα τρόπο να το ξεφορτωθώ πριν κόψω την αλυσίδα.
; Axe chain with chasm opened
LIVING0022	Κάτι το μπλοκάρει.

; Look at fire extinguisher
LIVING0023	Ένας μεγάλος πυροσβεστήρας.

; Look at swinging fridge
LIVING0024	Ψυγείο;! ... Κρεμασμένο από το ταβάνι; Βρωμάει φοβερά. Μακάρι να μπορούσα να το ξεφορτωθώ.
; Reach for swinging fridge
LIVING0025	Δεν μπορώ να το φτάσω από 'δω κάτω.

; Look at left cupboard
LIVING0026	Απλά μια ντουλάπα.

; Look at floor chasm
LIVING0027	Τί στο διάβολο είναι αυτό;! Πολύ αηδιαστικό. Δεν ξέρω που οδηγεί και δεν θέλω να μάθω.
; Touch floor chasm
LIVING0028	Δεν πλησιάζω με τίποτα.

; Look at metal box in cupboard
LIVING0029	Ένα γερό μεταλλικό κουτί. Φαίνεται σφραγισμένο.

; Look at Dr. Salt canned drink in cupboard
LIVING0030	Απ'ότι καταλαβαίνω είναι ένα αναψυκτικό με ανθρακικό.

; Look at mouldy foods
LIVING0031	Αυτά βρωμάνε. Έχουν μουχλίασει.
; Take mouldy foods
LIVING0032	Δεν τ'ακουμπάω! Ποιός ξέρει τί μπορεί να κολλήσω;

; Look at lunch box
LIVING0033	Είναι ένα σφραγισμένο κουτί γεύματος. Σταφύλια είναι αυτά?
; Take lunch box
LIVING0034	Όχι ευχαριστώ. Δεν νομίζω ποτέ να μείνω τόσο πεινασμένη.

; Look at garbage
LIVING0035	Περιτιλίγματα από έτοιμο φαγητό. Είναι γεμάτα σκόνη.
; Take garabage
LIVING0036	Δεν χρειάζεται να κουβαλάω σκουπίδια πάνω μου.

; Look at severed arm
LIVING0037	Είναι ένα κομμένο χέρι! Τί έγινε με το υπόλοιπο σώμα;

; Look at video disc #1
LIVING0038	Ένας απλός δίσκος βίντεο.

; Look at right cupboard
LIVING0039	Απλώς μια ντουλάπα.
; On discovering severed arm in right cupboard
LIVING0040	Άι στο διάολο! Έ-ένα χέρι! Τ-ί συμβάινει εδώ πέρα?

; Attemt to go through medbay door while fire is still blazing
LIVING0041	Το δωμάτιο έχει ασφαλιστεί αυτόματα. Νομίζω ότι βλέπω φωτιά πίσω από την πόρτα!

; On entering room while fridge is hanging 1st
LIVING0042	Έρχεται μια τρομερή μυρωδιά μέσα από το ψυγείο. Αναγούλιασα!
; On entering room while fridge is hanging 2nd
LIVING0084	Η βρώμα όλο και χειροτερεύει. Μου έρχεται εμετός.
; On entering room while fridge is hanging 3rd
LIVING0085	Νιώθω το λαιμό μου να κάιγεται. Δεν νομίζω να αντέξω αυτή τη βρώμα περισσότερο.

; Look at screen
LIVING0043	Είναι μια κονσόλα που διαβάζει δίσκους βίντεο.
; Take screen
LIVING0044	Δεν κάνει τίποτα χωρίς δίσκο βίντεο.
; Use mirror with screen
LIVING0045	Προσαρμόζεται τέλεια εκεί πάνω.
; Use metal box with screen
LIVING0046	Δεν έιναι σωστό. Δεν θα κάνει τίποτα το κουτί εδώ πάνω. Ίσως σκέφτομαι πολύ έμμεσα.
; Use video disc #1 with screen
LIVING0047	Σας μιλάει ο Αναπληρωτής Τεχνίτης Εργαστηρίου Αρθούρος Άντερσον κάνοντας τη πρώτη του προγραμματισμένη αναφορά. Βρίσκομαι εδώ μία εβδομάδα και τα πράματα δεν είναι όπως τα περιμένα.
LIVING0048	Με βάλανε να δουλεύω στο πάνω εργαστήριο να αναλύω απλές αναλύσεις δειγμάτων. Είναι χάσιμο χρόνου αλλά δεν μ'αφήνουν να μπώ στο κεντρικό εργαστηριακό θάλαμο.
LIVING0049	Είπα στο διοικητή Άρτεμις Τρεντ ότι δεν ταξίδεψα μέχρι εδώ για να κάνω τέτοια ασήμαντη δουλειά, αλλά δεν ενδιαφέρθηκε.
LIVING0050	Η δουλειά δεν θα μου φαινόταν και τόσο άσχημη αν δεν υπήρχε αυτή η ένταση μέσα στο σκάφος. Όλοι μένουν βουβοί και δεν θέλουν να μιλήσουν...
LIVING0051	Διακόπτουν γρήγορα κάθε συζήτηση που αφορά τον προκάτοχό μου ή το αντικέιμενο της δουλειάς τους.
LIVING0052	Είμαι σίγουρος για ένα πράγμα: δεν με θέλουν εδώ. Μόνο η Καθηγητής Έρικσον είναι κάπως φιλόξενη μαζί μου.
LIVING0053	Αλλά κι'αυτή έιναι διφορούμενη. Τουλάχιστον είναι καλή μαζί μου. Κάτι τρέχει σίγουρα εδώ πέρα... κάτι τους φοβίζει. 
LIVING0054	Τους άκουσα να αποκαλούν το κεντρικό εργαστήρι 'Άσπρο Δωμάτιο', και αφού δεν επιτρέπεται να μπω δεν καταλαβαινω γιατί.
LIVING0055	Έτσι κι'αλλιώς ο Γκούντγουιν και ο Γουάλις αποφεύγουν να το πλησιάζουν. Έχω δει τον Γκούντγουιν να μπαίνει μέσα κανά δυο φορές όταν το χρειαζόντουσαν αλλά πάντα για λίγο και απρόθυμα.
LIVING0056	Θα συνεχίσω τις έρευνες, αλλά δεν θέλω να τους πιέσω. Η ατμόσφαιρα έιναι αρκετά τεταμένη από μόνη της.
; Use video disc #2 with screen
LIVING0057	Ο Αξιωματικός Ρίτσαρντ Γουάιλς αγνοείται! Η Καθηγητής Έρικσον με ξύπνησε χθες το πρωί για να παρεμβρεθώ σε μιά συνάντηση για να δούμε τι συνέβη...
LIVING0058	Ο Δόκτωρ Γκούντγουιν είπε ότι δούλευε αργά και όταν πήρε είδηση ότι το ιατρικό λέιζερ δεν δούλευε, πήγε να βρει τον Γουάιλς.
LIVING0059	Η βάση είναι μικρή οπότε γρήγορα κατάλαβε ότι είχε εξαφανιστεί.
LIVING0060	Είπε ότι μετά ξύπνησε τον Διοικητή και οι δυό τους ψάξανε την βάση όλη τη νύχτα μάταια, ακόμα και το σωστικό σκάφος βρίσκεται αραγμένο στη θέση του.
LIVING0061	Μη βρίσκοντας λύσεις, έχουμε όλοι φτάσει στα όριά μας. Ακόμα κι'εγώ έχω αρχίσει να νιώθω όσο παρανοικός και νευρικός όσο οι υπόλοιποι.
LIVING0062	Τώρα πια πέριμενουμε μόνο ποιός θα εκραγεί πρώτος. Σας παρακαλώ ενθερμά να στείλετε μια καινούργια ομάδα.
LIVING0063	Αν αυτοί δεν φύγουν από 'δω μέσα, φοβάμαι ότι τα πράματα θα χειροτερέψουν. Κανένας δεν εμπιστεύεται κανέναν πια.
LIVING0064	Είναι ιδιαίτερα καχύποπτοι απέναντί μου, μια και είμαι ο καινούργιος. Ακόμα κι'η Σάρα... Εννοώ η Καθηγητής Έρικσον είναι όλο και πιο επιφυλακτική όταν μου μιλάει.
LIVING0065	Περνάει όλο και πιο πολύ χρόνο κάτω στο 'Άσπρο Δωμάτιο'. Το ξέρω ότι δεν ακούγεται σαν επιστημονική διάγνωση, αλλά όταν τη κοιτάω στα μάτια φαίνεται... κάπως χαμένη.
LIVING0066	Ήπια ένα ποτηρί με τον Δρ.Γκούντγουιν. Ήταν η πρώτη φορά από τότε που ήρθα που μου μίλησε ειλικρινά. Παρ'όλο που αυτά που μου είπε δεν ήχαν πολύ νόημα.
LIVING0067	Πιστεύει ότι τον Γουάιλς το απήγαγε το 'τεχνούργημα' που ερευνούσαν εκεί κάτω . Προφανώς ο Γουάιλς ήθελε να το ξεφορτωθούν.
LIVING0068	Μετά τη πρώτη μου αναφορά άκουσα να μιλάνε για το τεχνούργημα πολλές φορές. Οι απόψεις τους πάνω σ'αυτό ήταν ανάμεικτες και αντίθετες.
LIVING0069	Όλα αυτά με ανησυχούν. Σας παρακαλώ και πάλι να στείλετε μια ομάδα διάσωσης όσο γρήγορα γίνεται.
; Use video disc #3 with screen
LIVING0070	Μαγνητοσκοπώ αυτό το μύνημα σε περίπτωση που το βρει κάποιος, όχι ότι κι'αυτό θα βγει σε καλό. Ελπίζω κάποιος να το δει. Θέλω οι άνθρωποι να μάθουν τι συνέβει έδώ.
LIVING0071	Κατάλαβα ότι ο διοικητής εμπόδισε τα δύο προηγούμενα μυνήματά μου. Του ζήτησα τον λόγο, αλλά πιστεύει ότι είμαι πράκτορας της Cyclavir Hypercorp.
LIVING0072	Διαφώνησα μαζί του. Αλλά νομίζει ότι είναι αρκετά γενναιόδωρος που δεν με ξαπόστειλε τη στιγμή που κατάλαβε ότι προσπαθούσα να κάνω αναφορά.
LIVING0073	Προσπάθησα να του εξηγήσω ότι η εταιρεία μου ζήτησε να παρακολουθώ τις εξελίξεις, αλλά δεν δεχόταν τίποτα. Νομίζω ότι δεν μπορώ και να τον κατηγορίσω.
LIVING0074	Τίποτα απ'όλα αυτά δεν με νοιάζει πια. Θα είμαι τυχερός αν μείνω ζωντανός περισσότερο. Ο Δρ. Γκούντγουιν πέθανε. Η Σάρα τον βρήκε κομματιασμένο μέσα στο κεντρικό σύστημα εξαερισμού.
LIVING0075	Όλοι ξέρουμε ότι δεν ήταν ατύχημα. Μας δολοφονούν εδώ πέρα. Αναπόφευκτα, θα φτάσουν σε μένα. Ο Τρεντ πιστεύει ότι όλα άρχισαν όταν έφτασα στη βάση.
LIVING0076	Με κλείσανε εδώ στο θάλαμο απομόνοσης. Νομίζω ότι στεγανοποιούν το δωμάτιο αεραγωγού. Δεν καταλαβαίνω τι θέλουν να πετύχουν μ'αυτό.
LIVING0077	Δεν ξέρω τι συμβαίνει εδώ, είμαι μόνος και φοβάμαι. Δεν ξέρω αν ένας απ'αυτούς είναι ο δολοφόνος ή αν αυτό το δαιμονισμένο τεχνούργημα είναι υπεύθυνο για όλα αυτά.
LIVING0078	Έτσι κι'αλλιώς δεν με νοιάζει πια... Θέλω να φύγω απ'αυτή τη καταραμένη βάση. Βρήκα ένα τρόπο ν'ανοίξω το σφράγισμα της απομόνοσης και θα ξεφύγω προς το σωστικό σκάφος .
