CONFIG0001	false
; Look at fixed panel
BLACKC0006	Die Steuerung scheint jetzt zu funktionieren.
; Use items on the panel (bear in mind by the time you have any item to use you're already finished with the panel)
BLACKC0024	Ich glaube, die Steuerung hat ihren Zweck erfüllt.

; Look at split wires
BLACKC0007	Die Drähte sehen aus, als wären sie nicht richtig verbunden.
; Interact with split wires
BLACKC0008	So ... Ich habe die Drähte verbunden.
; Look at joined wires
BLACKC0009	Sie sind jetzt miteinander verbunden.
; Interact with joined wires
BLACKC0010	Ich habe sie schon verbunden.
; Use items on the wires
BLACKC0025	Ich glaube nicht, daß ich mit den Drähten noch irgendetwas tun muß.

; Windows open to reveal space outside
BLACKC0011	Was zur Hölle geht hier vor? Ich bin im Weltraum!

; Door opens to reveal a way out
BLACKC0012	Es sieht so aus, als hätte sich da ein Ausgang geöffnet.

; Look at windows
BLACKC0013	Das ist definitiv der Weltraum, aber ich sehe keine Anzeichen für andere Schiffe oder sonst etwas.
; Interact with windows
BLACKC0014	Die Fenster sind absolut dicht. Nebenbei: Wenn ich sie zerstören würde, würde ich in den Weltraum gesaugt!
; Use items on windows
BLACKC0026	Ich möchte nichts mit den Fenstern verwenden. Ich habe gesehen, was plötzliche Druckverminderung mit Menschen machen kann.

; //////////////////////////////////////////////////////////////////////
; 02 - NAVIGATION CENTRE
; //////////////////////////////////////////////////////////////////////

; Room Regions
NAVCEN0001	Tür
NAVCEN0002	Steuerung
NAVCEN0003	Konsole
NAVCEN0004	Flecken

; Navigation Console Regions
NAVCEN0005	Verlassen
NAVCEN0006	Nach links drehen
NAVCEN0007	Nach rechts drehen
NAVCEN0008	An
NAVCEN0009	Aus

; Cradle Console Regions
NAVCEN0010	Verlassen
NAVCEN0011	Sicherheits-Blockierung
NAVCEN0012	Halterung Absenken
NAVCEN0013	Halterung Anheben
NAVCEN0025	Kein Weg zurück
NAVCEN0026	Sicherheits-Blockierung aktiviert
NAVCEN0027	Sicherheits-Blockierung deaktiviert
NAVCEN0028	Anzeige

; Look at console
NAVCEN0014	Das scheint eine Art Navigations-Konsole zu sein. Es steuert irgendwie die Station.
; Try to use console while it has no power
NAVCEN0015	Sie scheint derzeit nicht zu funktionieren. Ich muß einen Weg finden, sie mit Strom zu versorgen.
; Use items with console
NAVCEN0016	Ich glaube nicht, daß mir das irgendwie weiterhilft.
; SUBTITLE - Console Title
NAVCEN0024	Steuerung für Stationsdrehung und Solarstrom

; Look at stains
NAVCEN0017	Was sind das für Flecken auf dem Boden? Und an der Wand?! Die sehen aus wie Blut!
; Touch stains
NAVCEN0018	Was auch immer das ist, es fühlt sich an, als wäre es in die Oberfläche eingetrocknet. Was ist hier passiert?
; Use items with stains
NAVCEN0019	Was soll das bringen?

; Look at wall panel
NAVCEN0020	Ich bin mir sicher, das hiermit eine Art Halterung gesteuert wird, die Teile der Station anhebt ... Woher weiß ich das?
; Try to use wall panel while it has no power
NAVCEN0021	Es scheint keinen Strom zu haben.
; Use items with wall panel
NAVCEN0022	Ich kann hier keine Gegenstände benutzen. Ich sehe keine Öffnungen oder sowas.
; Look at wall panel display
NAVCEN0029	Es sieht so aus, als ob dieser Teil der Station abgesenkt werden könnte.
; Use wall panel display
NAVCEN0030	Ich glaube, die Steuerung funktioniert über die Knöpfe unter der Anzeige.

; Try to walk through top door with power down (Player has been tampering with the power system if this has happened)
NAVCEN0023	Das ist komisch, sie öffnet sich nicht. Ich glaube, es gibt ein Problem mit der Stromversorgung.

; //////////////////////////////////////////////////////////////////////
; 03 - STORE ROOM
; //////////////////////////////////////////////////////////////////////

; Room Regions
STORER0001	Magazine
STORER0002	Steuerung
STORER0003	Bildschirm
STORER0004	Tür
STORER0005	Laborkittel
STORER0006	Scanner
STORER0007	Tür
STORER0008	Sprengstoff
STORER0009	Kühlraum

; MES Article Regions
STORER0010	Zurück

; Can't reach various objects because of the locked gate
STORER0011	Ich kann das von hier aus nicht betrachten.
; Can't properly see various objects because of the locked gate
STORER0012	Ich komme da von hier aus nicht dran.

; Look at explosive
STORER0013	Ein Kannister hochexplosiven Sprengstoffes.
; Use axe on explosive

; Use items on the explosive
STORER0014	Es scheint keine gute Idee zu sein, mit dem Zeug herumzuspielen.

; Look at big freezer door
STORER0015	Diese große Tür müsste in den Kühlraum führen.
; Attempt to go through door while it's closed
STORER0016	Ich kann da nicht rein, solange die Tür geschlossen ist.

; Look at closed gate
STORER0017	Dieses Gitter verhindert, daß ich in den Abstellraum komme.
; Touch gate
STORER0018	Es sieht ziemlich stabil aus.
; Use items on gate
STORER0019	Ich glaube, die einzige Möglichkeit, dieses Gitter zu öffnen, ist der Scanner.

; Look at lab coat
STORER0021	Ein dreckiger Laborkittel. Ich glaube, da ist etwas in der Tasche.
; Look at empty lab coat
STORER0020	Es ist nichts mehr in dem Kittel, und ich brauche ihn nicht.
; Search lab coat
STORER0023	Da waren eine leere ID-Karte und eine Art Kontrollschlüssel in der Tasche
; Search empty lab coat
STORER0022	Mehr ist nicht in dem Kittel, und er stinkt, als wäre er mit Fäkalien eingekleistert. Ich glaube, ich lasse ihn besser hier.
; Use items on lab coat
STORER0024	Ich glaube nicht, daß es mir weiterhilft, irgendwelche Dinge mit einem Laborkittel zu kombinieren.

; Look at MES console
STORER0026	Ein M.E.S. Eine sehr alte Videospielkonsole.
; Use MES console 1st time
STORER0027	Ich habe nicht wirklich die Zeit, um Spiele zu spielen.
; Use MES console 2nd time (The comment about dying in games here is a vital clue)
STORER0028	Ich will nicht.Diese alten Spiele sind wirklich blöd. Die gehen einfach immer weiter, bis Du entweder stirbst oder das Pad an die Wand wirfst.
; Use MES console 3rd time (This comment leads into a game easter egg)
STORER0029	Ich glaube, einen schnellen Blick kann ich mal riskieren. Was soll schon Schlimmes passieren?
; Use MES console 4th time onwards
STORER0030	Nicht noch einmal ... nicht nach letztem Mal!
; Use items with MES console
STORER0025	Da steckt schon ein Spiel drin.

; Look at MES magazine
STORER0036	Eine alte Zeitschrift für alte Videospiele
; Use items on MES magazine
STORER0037	Das wäre unnütz. Es ist nur eine Zeitschrift.

; Look at screen
STORER0038	Ein Bildschirm, der an die alte Konsole angeschlossen ist. Ich kann das Bild nicht erkennen.
; Take screen
STORER0039	Ich bezweifele, daß ich den von da runterbekomme, ohne ihn kaputtzumachen.
; Use items on screen
STORER0040	Welchen tieferen Sinn soll das haben?

; Look at scanner
STORER0032	Das ist ein ID-Karten-Scanner für die Tür
; Use scanner
STORER0033	Dafür braucht man eine ID-Karte
; Use unprogrammed ID card on scanner
STORER0031	Es funktioniert nicht. Anscheinend ist diese Karte nicht mit einer authorisierten DNA-Probe kodiert.
; Use override key on scanner
STORER0034	Der funktioniert mit einer ID-Karte, nicht mit dieser Art von Schlüssel.
; Use any other items on scanner
STORER0035	Das passt nicht in den Scanner.

; Return from MES world
STORER0041	Ich bin zurück. Und ich will gar nicht wissen, was da gerade passiert ist.


; //////////////////////////////////////////////////////////////////////
; 04 - COMPUTER ROOM
; //////////////////////////////////////////////////////////////////////

; Room regions
COMPUT0001	Tür
COMPUT0002	Sequenzer
COMPUT0003	Notstromsteuerung
COMPUT0004	Linker Computer
COMPUT0005	Rechter Computer

; Backup panel regions
COMPUT0006	Steuerung verlassen
COMPUT0007	Schlüsselloch
COMPUT0008	Leere Blende
COMPUT0009	Kontrollschlüssel
COMPUT0055	Kommunikation
COMPUT0056	Medizinische Systeme
COMPUT0057	Andock-Halterung
COMPUT0058	Stationsdrehung
COMPUT0059	Lebenserhaltung
COMPUT0060	Wartezustand
COMPUT0061	Aktiv
COMPUT0062	Fehler

; E-Mail computer regions
COMPUT0010	Verlassen
COMPUT0011	Nachricht 1
COMPUT0012	Nachricht 2
COMPUT0013	Nachricht 3
COMPUT0014	Nachricht 4

; Droid computer regions
COMPUT0015	Rot
COMPUT0016	Grün
COMPUT0017	Lila
COMPUT0018	Gelb
COMPUT0019	Weiß
COMPUT0020	Blau
COMPUT0021	Verlassen

; Look at back up unit
COMPUT0022	Sieht aus wie eine Kontrolltafel zur Verteilung des Notstroms auf verschiedene Systeme
; Use back up panel once power has been restored to station
COMPUT0023	Jetzt, wo ich die Station wieder mit Strom versorgt habe, ist die Notstromverteilung überflüssig.
; Use override key on backup panel as a whole
COMPUT0024	Ich sollte mir das genauer ansehen.
; Use anything else on backup panel as a whole
COMPUT0025	Ich müsste genauer hinsehen, um hier irgendetwas zu benutzen.

; Look at DNA sequencer
COMPUT0026	Das ist ein DNA-Kodierer. Damit werden DNA-Daten auf ID-Karten programmiert.
; Touch DNA sequencer
COMPUT0027	Ohne eine saubere DNA-Probe kann das Gerät nicht arbeiten.
; Insert ID card without DNA sample
COMPUT0028	Anscheinend funktioniert das nicht, wenn ich nicht zuerst eine saubere DNA-Probe einführe.
; Insert DNA sample
COMPUT0029	Fertig. Jetzt muß ich nur noch die zu programmierende Karte einstecken.
; Insert ID card after DNA sample
COMPUT0030	Damit sollten die Daten der DNA-Probe auf die Karte geschrieben worden sein.
; Insert already programmed ID card
COMPUT0031	Die Karte wurde schon programmiert.

; Look at communications computer
COMPUT0032	Das ist ein Kommunikations-Computer.
; Use communications computer without power
COMPUT0033	Er funktioniert nicht. Ich vermute, daß er keinen Strom hat.
; SUBTITLE - Initial computer screen
COMPUT0042	Kommunikation - Bitte Nachricht auswählen.
; Girl summarises first computer message
COMPUT0043	Anscheinend hat jemand versucht einen Hilferuf zu senden, aber er wurde nicht übermittelt.
; Girl summarises second computer message
COMPUT0044	Laut dieser Nachricht gibt es irgendwo eine Notiz, mit der man die Roboter-Software freischalten kann.
; Girl summarises third computer message
COMPUT0045	Dies scheint nur irgendein Werbemüll für irgendein Konzert zu sein.
; Girl summarises fourth computer message
COMPUT0046	Diese Nachricht fragt nach Informationen bezüglich eines vermissten Schiffes.


; Look at override key in the backup unit
COMPUT0034	Das ist der Schlüssel, den ich hineingesteckt habe.

; Look at slot in backup unit
COMPUT0035	Sieht aus wie ein Loch für irgendeine Art von Schlüssel.
; Use slot in backup unit
COMPUT0036	Ohne den richtigen Schlüssel kann ich da nichts bewegen.

; Look at life support slot
COMPUT0037	Da ist nichts, kein Loch, wie bei den anderen Modulen.
; Use life support slot
COMPUT0038	Sie ist bereits aktiv. Das ist schonmal eine Erleichterung.
; Use override key on life support slot
COMPUT0039	Anscheinend ist die Lebenserhaltung immer aktiv. Es wäre aber auch irgendwie blöd, die auszuschalten.

; Look at droid computer
COMPUT0040	Verdammt! Kein Strom.
; Use droid computer without power
COMPUT0041	Da steht etwas von "Roboter-Software".
; SUBTITLE - Droid control console
COMPUT0047	Roboter-Steuerung - Bitte Farbcode-Sequenz eingeben.

; Look at analyser
COMPUT0048	Das ist irgendeine Form von Analysegerät
; SUBTITLE - Analyser
COMPUT0049	Probe-Analyse deaktiviert. Menschliche DNA im Gerät.
; Look at analyser compartment
COMPUT0050	Da ist irgendein Fach.
' Girl's comment when opening compartment
COMPUT0051	Da ist eine Warnung, daß das gefährlich sein könnte. Ich weiß nicht, ob es eine gute Idee ist, daran herumzuwursteln.
; Look at wire
COMPUT0052	Ich glaube, dieser Draht ist für die Überbrückung des Sicherheitssystems.
; Take wire
COMPUT0053	Ich brauche irgendetwas Schärferes, um den durchzuschneiden.
; Try to use axe with wire
COMPUT0054	Die ist zu groß, um sie in das Fach zu bekommen. Ich brauche ein kleineres Schneidwerkzeug.


; //////////////////////////////////////////////////////////////////////
; 05 - LIVING ROOM
; //////////////////////////////////////////////////////////////////////

; Room regions
LIVING0001	Kette
LIVING0002	Kühlschrank
LIVING0003	Abgrund
LIVING0004	Torso
LIVING0005	Tür
LIVING0006	Schalter
LIVING0007	Schrank
LIVING0008	Video-Bildschirm
LIVING0009	Feuerlöscher

; Left cupboard regions
LIVING0010	Getränkedose
LIVING0011	Komische Kiste
LIVING0012	Schimmeliges Essen
LIVING0013	Essensdose
LIVING0014	Müll
LIVING0015	verlassen

; Right cupboard regions
LIVING0016	Arm
LIVING0017	Video-CD
LIVING0018	Verlassen

; Look at chain
LIVING0019	Diese Kette hält den komischen Kühlschrank fest.
; Break chain with hands
LIVING0020	Ich bezweifele, daß ich die mit meinen Händen kaputtkriege.
; Axe chain with chasm closed
LIVING0021	Damit könnte ich den Kühlschrank herunterkriegen, aber er würde auf dem Boden noch mehr stinken. Ich sollte besser einen Weg finden, den Kühlschrank loszuwerden, ehe ich ihn herunterschlage.
; Axe chain with chasm opened
LIVING0022	Irgendetwas blockiert ihn.

; Look at fire extinguisher
LIVING0023	Ein großer Feuerlöscher

; Look at swinging fridge
LIVING0025	Ich bekomme den niemals von da runter.

; Look at left cupboard
LIVING0026	Das ist nur ein Schrank.

; Look at floor chasm
LIVING0027	Was zum Teufel ist das? Das ist ekelhaft! Ich weiß nicht, wohin das führt, und ich will es auch gar nicht wissen.
; Touch floor chasm
LIVING0028	Ich werde mich davon fernhalten!

; Look at metal box in cupboard
LIVING0029	Eine verstärkte Metallkiste. Sieht verschlossen aus.

; Look at Dr. Salt canned drink in cupboard
LIVING0030	Wenn ich das richtig verstehe, ist das ein kohlensäurehaltiges Getränk.

; Look at mouldy foods
LIVING0031	Das Essen stinkt. Es ist schon komplett verschimmelt.
; Take mouldy foods
LIVING0032	Das fasse ich nicht an! Wer weiß, was ich mir da einfange?

; Look at lunch box
LIVING0033	Das ist eine verschlosse Essensdose. Sind das Weintrauben?
; Take lunch box
LIVING0034	Nein Danke. Ich glaube nicht, daß ich jemals SO hungrig sein werde.

; Look at garbage
LIVING0035	Benutzte Fastfood-Packungen. Die sind komplett verdreckt.
; Take garabage
LIVING0036	Ich habe es nicht nötig, Müll mit mir herumzuschleppen.

; Look at severed arm
LIVING0037	Das ist ein abgerissener Arm! Was ist wohl mit dem restlichen Körper passiert?

; Look at video disc #1
LIVING0038	Eine normale Video-CD.

; Look at right cupboard
LIVING0039	Das ist nur ein Schrank.
; On discovering severed arm in right cupboard
LIVING0040	OH MIST! Das ist ein Arm von irgendwem! Was zur Hölle passiert hier?

; Attemt to go through medbay door while fire is still blazing
LIVING0041	Der Raum wurde automatisch abgeriegelt. Ich glaube, ich sehe durch die Tür ein Feuer!

; On entering room while fridge is hanging 1st
LIVING0042	Dieser Kühlschrank verbreitet einen furchtbaren Geruch. Ich fühle mich nicht gut.
; On entering room while fridge is hanging 2nd
LIVING0084	Der Gestank wird schlimmer und schlimmer. Gleich muß ich mich übergeben.
; On entering room while fridge is hanging 3rd
LIVING0085	Meine Kehle fühlt sich an, als würde sie brennen. Ich glaube nicht, daß ich diesen Gestank noch länger ertragen kann.

; Look at screen
LIVING0043	Das ist ein Abspielgerät für Video-CDs.
; Take screen
LIVING0044	Ohne eine Video-CD macht das Gerät gar nichts.
; Use mirror with screen
LIVING0045	Als ob es dafür gemacht wäre.
; Use metal box with screen
LIVING0046	Das ist nicht richtig. Da brauche ich die Kiste nicht. Vielleicht denke ich gerade zu indirekt.



; Use video disc #1 with screen
LIVING0047	Ich bin der neu eingesetzte Labortechniker Arthur Anderson und dies ist mein erster planmäßiger Bericht. Ich bin seit einer Woche hier, und es ist wirklich nicht das, was ich erwartet hatte.
LIVING0048	Man beschäftigt mich im oberen Labor mit Routineanalysen von Proben. Das ist eine Verschwendung meiner Zeit, aber man will nicht, daß ich nach unten ins Hauptlabor gehe.
LIVING0049	Ich habe Kommandant Artemis Trend gesagt, daß ich nicht den ganzen weiten Weg gereist bin, um hier die Drecksarbeit zu verrichten, aber das hat ihn nicht interessiert.
LIVING0050	Die Arbeit wäre wesentlich besser, wenn an Bord nicht so eine Spannung herrschen würde. Hier ist jeder nur mit sich selbst beschäftigt, und reden wollen sie alle nicht.
LIVING0051	Man blockt schnell ab, wenn das Gespräch auf das Schicksal meines Vorgängers kommt, oder darauf, was dort unten gemacht wird.
LIVING0052	Eins ist sicher: Hier oben will mich niemand haben. Nur Professor Ericson ist annähernd freundlich zu mir.
LIVING0053	Aber auch sie weicht mir aus. Aber sie ist wenigstens freundlich dabei. Ich bin mir sicher, daß hier irgendetwas vorgeht ... vor irgendetwas haben die Leute Angst.
LIVING0054	Ich habe mehrfach gehört, wie sie das Hauptlabor 'White Chamber' genannt haben. Ich weiß aber nicht warum, ich darf da ja nicht rein.
LIVING0055	Goodwin und Wyles hassen es, in die Nähe des Labors zu kommen. Trotzdem habe ich ein paarmal gesehen, wie Goodwin hineingegangen ist, als sie ihn brauchten, aber immer widerstrebend und nur kurz.
LIVING0056	Ich werde weiter nachforschen, aber ich möchte die Leute auch nicht drängen. Die Stimmung hier ist jetzt schon gespannt genug.


; Use video disc #2 with screen
LIVING0057	Officer Wyles wird vermisst! Prof. Ericson hat mich gestern morgen geweckt für ein Treffen, um die Angelegenheit zu besprechen ...
LIVING0058	Dr. Goodwin sagt, er habe noch bis spät in die Nacht gearbeitet. Als er merkte, daß der medizinische Laser nicht funktioniert, hat er angefangen, nach Wyles zu suchen. 
LIVING0059	Dieser Ort ist recht klein, darum war auch schnell klar daß Wyles nirgendwo zu finden ist.
LIVING0060	Er hat dann den Kommandanten geweckt, und die beiden habe die ganze Nacht die Station durchsucht, ohne Erfolg; sogar die Rettungskapsel ist immer noch angedockt.
LIVING0061	Ohne eine Antwort auf dieses Rätsel steht hier jeder kurz vor dem Zusammenbruch. Sogar ich fange schon an, mich so paranoid und angespannt zu fühlen wie die Anderen.
LIVING0062	Die Frage ist einfach nur, wer hier als erstes ausrastet unter dem Druck. Ich bitte sie wirklich eindringlich, ein neues Team hierherzuschicken.
LIVING0063	Wenn die Leute nicht von diesem Ort wegkommen, wird alles nur noch schlimmer. Niemand traut mehr irgendwem.
LIVING0064	Mir gegenüber sind Sie besonders mißtrauisch, da ich der Neuankömmling bin. Sogar Sarah ... Ich meine Prof. Ericson ist immer vorsichtiger, wenn sie mit mir spricht.
LIVING0065	Sie hat immer mehr Zeit in dieser 'White Chamber' vebracht. Ich weiß zwar, daß das nicht sehr wissenschaftlich ist, aber wenn ich ihr in die Augen sehe, scheint sie irgendwie ... abwesend zu sein.
LIVING0066	Ich habe mich privat mit Dr. Goodwin unterhalten. Das war das erste Mal, seit ich hier angekommen bin, daß vernünftig mit mir geredet hat. Obwohl das, was er sagte, wenig Sinn ergab.
LIVING0067	Er ... Er ist überzeugt, daß Wyles dem 'Artefakt', das sie da unten erforschen, zum Opfer fiel. Anscheinend wollte Wyles es loswerden.
LIVING0068	Seit meinem letzten Bericht habe ich mehrfach gehört, wie sie das 'Artefakt' erwähnt haben. Ihre Meinungen zu dem 'Artefakt' sind so verschieden wie gegensätzlich.
LIVING0069	Das alles beunruhigt mich. Ich bitte sie noch einmal eindringlich, so schnell wie möglich eine Ablösemannschaft hier herzuschicken.


; Use video disc #3 with screen
LIVING0070	Ich mache diese Aufnahme für den Fall, daß sie jemand findet. Ich glaube nicht, daß sie noch etwas bewirkt, aber ich hoffe, jemand bekommt sie zu sehen. Ich möchte, daß die Nachwelt erfährt, was passiert ist.
LIVING0071	Ich habe herausgefunden, daß der Kommandant meine letzten beiden Berichte abgefangen hat. Ich habe ihn damit konfrontiert, aber er ist überzeugt, daß ich ein Agent bin, der für Cyclavir Hypercorp arbeitet.
LIVING0072	Ich habe mit ihm diskutiert, aber es war sinnlos. Er denkt, er war großzüig genug, weil er mich nicht in den Weltraum geschossen hat, als er herausfand, daß ich die Berichte zurückgeschickt habe.
LIVING0073	Ich habe ihm dann versucht, zu erklären, daß die Firma mich gebeten hat, meine Beobachtungen vorzulegen, aber er wollte nichts davon wissen. Ich glaube, ich kann ihm das nicht vorwerfen.
LIVING0074	Das alles tut jetzt alles nichts zur Sache. Ich bin schon froh, wenn ich noch ein wenig weiterlebe. Dr. Goodwin ist tot. Sarah hat ihn gefunden, zermatscht, im Hauptbelüftungssystem.
LIVING0075	Jeder hier weiß, daß es kein Unfall war. Wir werden hier oben umgebracht. Sie sind unausweichlich auf mich gekommen. Trend glaubt, daß alles angefangen hat, als ich an Bord kam.
LIVING0076	Sie haben mich hier in der Quarantänekammer eingeschlossen. Ich glaube, sie riegeln den Lüftungsraum ab, bin mir aber nicht sicher, was sie damit erreichen wollen.
LIVING0077	Ich weiß nicht, was hier vorgeht, ich habe Angst und bin alleine. Ich weiß nicht, ob einer von denen ein Mörder ist, oder ob dieses verdammte 'Artefakt' an allem Schuld ist.
LIVING0078	Was es auch ist, es kümmert mich nicht weiter ... ich will einfach nur noch weg von hier. Ich habe eine Möglichkeit gefunden, die Kammer zu öffnen und ich werde mich gleich zur Rettungskapsel begeben.
LIVING0079	Ich bin mir nicht sicher, ob ich es schaffen werde, deshalb lasse ich die letzte Aufnahme hier, als einen letzten Bericht, was hier passiert ist. Wer auch immer das findet ... viel Glück.

; Look at table switch
LIVING0080	Dieser Schalter ist für den Tisch.
; Press table switch with mouth chasm open
LIVING0081	Er funktioniert nicht. Ich kann den Mund nicht zumachen.
; Press table switch with mirror in place
LIVING0082	Das funktioniert nicht, solange der Spiegel da steht.

; Look at torso
LIVING0083	Der Kühlschrank bewegt sich keinen Zentimeter, solange dieser zerfleischte Körper darinsteckt. Ich wünschte, ich hätte ihn da oben hängenlassen.


; //////////////////////////////////////////////////////////////////////
; 06 - SLEEPING QUARTERS
; //////////////////////////////////////////////////////////////////////

; Room regions
SLEEPQ0001	Dusch-Steuerung
SLEEPQ0002	Haare
SLEEPQ0003	Spiegel
SLEEPQ0004	Decke
SLEEPQ0005	Notiz
SLEEPQ0006	Video-CD
SLEEPQ0007	Tür

; Look at blanket
SLEEPQ0008	Die Decke sieht warm aus.

; Look at video disc
SLEEPQ0009	Eine bespielte Video-CD

; After nearly being sucked into space
SLEEPQ0010	Der Weltraum? Was zum Henker ... wo ist der Strand hin?

; Try to go through door after being sucked out once
SLEEPQ0011	Ich möchte da nicht noch einmal raus. Ich habe das letzte Mal schon fast nicht überlebt.
; Keep trying to go through door
SLEEPQ0019	Ich glaube wirklich nicht, daß das eine gute Idee ist.
; Keep trying to go through door
SLEEPQ0020	Okay. Ich probier's nochmal.

; Look into mirror
SLEEPQ0012	Das also bin ich. Nicht schlecht, wenn man bedenkt ...

; Look at notes
SLEEPQ0013	Eine handgeschriebene Notiz. Eigenartig ... die meisten Menschen benutzen heutzutage Computer.

; After player been stabbed and wakes up in sleeping quarters
SLEEPQ0014	Was zur Hölle ist gerade passiert?! War das überhaupt real? Was macht dieser Ort mit mir?

; Look at head in the water
SLEEPQ0015	Ist das ...? Oh nein, erzähl mir nicht, daß das da Haare sind ...
; After head cutscene
SLEEPQ0016	Ein abgetrennter Kopf!? Lebt das Ding noch? ... Was zum Henker denke ich da gerade?

; Look a at shower control panel
SLEEPQ0017	Die Steuerung ist für die Dusch- und Toiletteneinheit.
; Open shower unit using panel while it is locked
SLEEPQ0018	Es reagiert nicht.

; //////////////////////////////////////////////////////////////////////
; 07 - LAB
; //////////////////////////////////////////////////////////////////////

; Room regions
THELAB0001	Sucher
THELAB0002	Aufzug
THELAB0003	Lautsprecher
THELAB0004	Werkzeuge
THELAB0005	Tafel
THELAB0006	Projektor
THELAB0007	Videorecorder
THELAB0008	Batterien
THELAB0009	Laserbrenner
THELAB0010	Skalpel
THELAB0011	Objektträger
THELAB0012	Tür
THELAB0013	Axt

; Can't see various objects while being tortured
THELAB0014	Ich kann das von hier aus nicht sehen.
; Can't reach various objects while being tortured
THELAB0015	Ich komme da nicht dran.

; Look at axe
THELAB0016	Irgendjemand hat eine Axt in die Aufzugsteuerung geschlagen.

; Look at batteries
THELAB0017	Das sind die Batterien aus dem Video ... das war schrecklich.

; Look at clean blackboard
THELAB0018	Die Tafel sieht sauber aus. Ich habe ein komisches Gefühl dabei.
; Look at marked blackboard
THELAB0019	Da sind ein paar eigentümliche Kreidestriche auf der Tafel.
; Look at heavily marked blackboard
THELAB0020	Diese Form. Ich weiß, daß ich sie irgendwoher kenne ... aber woher?
; Wipe clean blackboard
THELAB0021	Die Tafel ist schon sauber.
; Wipe marked blackboard
THELAB0022	Ich möchte die Kreidestriche nicht wegwischen. Ich glaube, die haben etwas zu bedeuten.
; Examine fully marked blackboard (This is foreshadowing for the comedy ending)
THELAB0051	Das ist das Artefakt. Ich erinnere mich jetzt. Ich bin mir sicher, daß ich all das hier vorher schon einmal gesehen habe.
THELAB0052	Aber ich fühle, daß da etwas auf mich zukommt. Etwas anderes ... etwas Überraschendes!

; Look at elevator
THELAB0023	Ich frage mich, wo der hinführt.
; Use elevator
