CONFIG0001	true
BLACKC0012	It looks like there's a way out.

; Look at windows
BLACKC0013	This is definitely space, but I can't see any signs of other ships or anything.
; Interact with windows
BLACKC0014	The windows are totally solid. Besides, if I broke them I'd be sucked out into space.
; Use items on windows
BLACKC0026	I don't want to use anything on the windows. I've seen what explosive depressurization does to people.

; //////////////////////////////////////////////////////////////////////
; 02 - NAVIGATION CENTRE
; //////////////////////////////////////////////////////////////////////

; Room Regions
NAVCEN0001	Door
NAVCEN0002	Wall Panel
NAVCEN0003	Console
NAVCEN0004	Stains

; Navigation Console Regions
NAVCEN0005	Leave
NAVCEN0006	Rotate Left
NAVCEN0007	Rotate Right
NAVCEN0008	On
NAVCEN0009	Off

; Cradle Console Regions
NAVCEN0010	Leave
NAVCEN0011	Safety Lock
NAVCEN0012	Lower Cradle
NAVCEN0013	Raise Cradle
NAVCEN0025	No Turning Back
NAVCEN0026	Safety Lock Engaged
NAVCEN0027	Safety Lock Offline
NAVCEN0028	Display Screen

; Look at console
NAVCEN0014	It seems to be some kind of navigation console. It must control the station somehow.
; Try to use console while it has no power
NAVCEN0015	It doesn't seem to be working at the moment. I'll need to find some way to power it up.
; Use items with console
NAVCEN0016	I doubt using anything here will be helpful.
; SUBTITLE - Console Title
NAVCEN0024	Station Rotation and Solar Power Controls

; Look at stains
NAVCEN0017	What are these stains on the floor? On the wall too?! They look like blood!
; Touch stains
NAVCEN0018	Whatever they are, they feel encrusted into the surface. What happened here?
; Use items with stains
NAVCEN0019	What would be the point?

; Look at wall panel
NAVCEN0020	I'm sure this controls some sort of cradle system that elevates part of the station... why do I know that?
; Try to use wall panel while it has no power
NAVCEN0021	It doesn't seem to have any power
; Use items with wall panel
NAVCEN0022	I can't use any items here. There are no openings or anything.
; Look at wall panel display
NAVCEN0029	It looks like this section of the station can be lowered down.
; Use wall panel display
NAVCEN0030	I think it's controlled by the buttons below.

; Try to walk through top door with power down (Player has been tampering with the power system if this has happened)
NAVCEN0023	That's strange, it won't open. I'd guess it's a problem with the power system.

; //////////////////////////////////////////////////////////////////////
; 03 - STORE ROOM
; //////////////////////////////////////////////////////////////////////

; Room Regions
STORER0001	Magazine
STORER0002	Console
STORER0003	Screen
STORER0004	Door
STORER0005	Lab Coat
STORER0006	Scanner
STORER0007	Door
STORER0008	Explosive
STORER0009	Freezer

; MES Article Regions
STORER0010	Leave

; Can't reach various objects because of the locked gate
STORER0011	I can't really see from here.
; Can't properly see various objects because of the locked gate
STORER0012	I can't reach it through the cage.

; Look at explosive
STORER0013	A canister of high explosive.
; Use axe on explosive

; Use items on the explosive
STORER0014	Doesn't seem like a good idea to try to tamper with this.

; Look at big freezer door
STORER0015	This big door must lead to the freezer.
; Attempt to go through door while it's closed
STORER0016	I can't get in while the door's closed.

; Look at closed gate
STORER0017	This gate's stopping me from getting in the store room.
; Touch gate
STORER0018	It seems pretty sturdy.
; Use items on gate
STORER0019	I think the only thing that's going to open this gate is that scanner.

; Look at lab coat
STORER0021	A soiled lab coat, it looks like there's something in the pocket.
; Look at empty lab coat
STORER0020	The lab coat's empty now, and I don't need it.
; Search lab coat
STORER0023	There's a blank ID card and some kind of override key in the pocket.
; Search empty lab coat
STORER0022	There's nothing else in the coat and it smells like it's smeared with faeces or something, so I think I'll leave it.
; Use items on lab coat
STORER0024	I don't think using random items on a coat is going to achieve anything.

; Look at MES console
STORER0026	An M.E.S. It's a really old video gaming console.
; Use MES console 1st time
STORER0027	I don't really have time to play games.
; Use MES console 2nd time (The comment about dying in games here is a vital clue)
STORER0028	I don't want to. Those old games are really stupid. They just go on and on until you die or throw the pad at the wall.
; Use MES console 3rd time (This comment leads into a game easter egg)
STORER0029	I guess I can have a quick look. What harm can it do?
; Use MES console 4th time onwards
STORER0030	Not again... Not after last time!
; Use items with MES console
STORER0025	It's already got a game loaded into it.

; Look at MES magazine
STORER0036	It's a retro video gaming magazine.
; Use items on MES magazine
STORER0037	That'd be pointless. It's just a magazine.

; Look at screen
STORER0038	A screen attached to that old console. I can't make out the image.
; Take screen
STORER0039	I doubt I could get it down from there without breaking it.
; Use items on screen
STORER0040	What would be the point of that?

; Look at scanner
STORER0032	It's an ID card scanner for the gate.
; Use scanner
STORER0033	I'll need to use an ID card with it.
; Use unprogrammed ID card on scanner
STORER0031	It didn't work, looks like this card isn't encoded with an authorised DNA sample.
; Use override key on scanner
STORER0034	It's operated by ID card, not this kind of key.
; Use any other items on scanner
STORER0035	That won't fit in the scanner.

; Return from MES world
STORER0041	I'm back! I don't even wanna know what happened there.


; //////////////////////////////////////////////////////////////////////
; 04 - COMPUTER ROOM
; //////////////////////////////////////////////////////////////////////

; Room regions
COMPUT0001	Door
COMPUT0002	Sequencer
COMPUT0003	Backup Unit
COMPUT0004	Left Computer
COMPUT0005	Right Computer

; Backup panel regions
COMPUT0006	Leave Unit
COMPUT0007	Key Slot
COMPUT0008	Blank Plate
COMPUT0009	Override Key
COMPUT0055	Communications
COMPUT0056	Medical Systems
COMPUT0057	Docking Cradle
COMPUT0058	Station Rotation
COMPUT0059	Life Support
COMPUT0060	Waiting
COMPUT0061	Online
COMPUT0062	Error

; E-Mail computer regions
COMPUT0010	Leave
COMPUT0011	Message 1
COMPUT0012	Message 2
COMPUT0013	Message 3
COMPUT0014	Message 4

; Droid computer regions
COMPUT0015	Red
COMPUT0016	Green
COMPUT0017	Purple
COMPUT0018	Yellow
COMPUT0019	White
COMPUT0020	Blue
COMPUT0021	Leave

; Look at back up unit
COMPUT0022	It looks like a unit designed to provide backup power to certain systems.
; Use back up panel once power has been restored to station
COMPUT0023	Now that I've powered up the station this backup system is kind of redundant.
; Use override key on backup panel as a whole
COMPUT0024	I'll need to get in closer.
; Use anything else on backup panel as a whole
COMPUT0025	I can't do anything without getting in closer.

; Look at DNA sequencer
COMPUT0026	It's a DNA encoder, used to store data on ID cards.
; Touch DNA sequencer
COMPUT0027	This won't do anything without a clean DNA sample.
; Insert ID card without DNA sample
COMPUT0028	Looks like this won't work unless I insert a DNA sample first.
; Insert DNA sample
COMPUT0029	Done. Now I just need to put in the card to be programmed.
; Insert ID card after DNA sample
COMPUT0030	That should have written the sample data on to the card.
; Insert already programmed ID card
COMPUT0031	The card has already been programmed.

; Look at communications computer
COMPUT0032	It's a communications console.
; Use communications computer without power
COMPUT0033	Not working. I guess there's no power.
; SUBTITLE - Initial computer screen
COMPUT0042	Communications Console - Select a message.
; Girl summarises first computer message
COMPUT0043	Looks like someone was trying to send out an S.O.S. message but it wasn't transmitted.
; Girl summarises second computer message
COMPUT0044	According to this there's a note somewhere to unlock the droid software.
; Girl summarises third computer message
COMPUT0045	This just look like promotional spam for some concert.
; Girl summarises fourth computer message
COMPUT0046	The message is asking about for information about a missing ship.


; Look at override key in the backup unit
COMPUT0034	That's the key I put in.

; Look at slot in backup unit
COMPUT0035	It looks like a slot for some kind of key.
; Use slot in backup unit
COMPUT0036	I can't get it working without the right key.

; Look at life support slot
COMPUT0037	It's blank, unlike the slots in the other modules.
; Use life support slot
COMPUT0038	It's already online. That's one relief.
; Use override key on life support slot
COMPUT0039	It looks like the life support is always online. It'd be kinda stupid to turn it off anyway.

; Look at droid computer
COMPUT0040	Damn! No power.
; Use droid computer without power
COMPUT0041	It's marked as being a droid control console.
; SUBTITLE - Droid control console
COMPUT0047	Droid Control Console - Enter colour code sequence

; Look at analyser
COMPUT0048	This console is used as some kind of analyser.
; SUBTITLE - Analyser
COMPUT0049	Sample Analyser - Disabled due to human DNA lodged in device.
; Look at analyser compartment
COMPUT0050	It's some kind of compartment.
' Girl's comment when opening compartment
COMPUT0051	It's warning this might be dangerous. I'm not sure messing with this is a good idea.
; Look at wire
COMPUT0052	It looks like this wire controls the security override.
; Take wire
COMPUT0053	I'll need something sharper to cut this.
; Try to use axe with wire
COMPUT0054	It's too big to fit in the panel. I'll need a smaller cutting instrument.


; //////////////////////////////////////////////////////////////////////
; 05 - LIVING ROOM
; //////////////////////////////////////////////////////////////////////

; Room regions
LIVING0001	Chain
LIVING0002	Fridge
LIVING0003	Chasm
LIVING0004	Torso
LIVING0005	Door
LIVING0006	Switch
LIVING0007	Cupboard
LIVING0008	Video Screen
LIVING0009	Extinguisher

; Left cupboard regions
LIVING0010	Can of Drink
LIVING0011	Strange Box
LIVING0012	Mouldy Foods
LIVING0013	Lunchbox
LIVING0014	Garbage
LIVING0015	Leave

; Right cupboard regions
LIVING0016	Arm
LIVING0017	Video Disc
LIVING0018	Leave

; Look at chain
LIVING0019	This chain is holding up that strange fridge.
; Break chain with hands
LIVING0020	I doubt I could break this with my hands.
; Axe chain with chasm closed
LIVING0021	That might bring the fridge down. But it'd smell worse on the floor. I'd rather find a way to dispose of it before cutting it down.
; Axe chain with chasm opened
LIVING0022	Something's jamming it.

; Look at fire extinguisher
LIVING0023	A large fire extinguisher.

; Look at swinging fridge
LIVING0024	A fridge?! ... Hanging from the ceiling? It absolutely stinks. I wish I could get rid of it.
; Reach for swinging fridge
LIVING0025	I'll never get it from down here.

; Look at left cupboard
LIVING0026	It's just a cupboard.

; Look at floor chasm
LIVING0027	What the hell is that?! That's gross. I don't know where it leads, and I don't wanna know.
; Touch floor chasm
LIVING0028	I'm not going anywhere near that.

; Look at metal box in cupboard
LIVING0029	A strong metal box. It looks sealed.

; Look at Dr. Salt canned drink in cupboard
LIVING0030	If I understand correctly it's a fizzy drink.

; Look at mouldy foods
LIVING0031	This food stinks. It's all gone mouldy.
; Take mouldy foods
LIVING0032	I'm not touching that! Who knows what I might catch?

; Look at lunch box
LIVING0033	It's a sealed lunchbox. Are those grapes inside?
; Take lunch box
LIVING0034	No thanks. I doubt I'd ever be quite THAT hungry.

; Look at garbage
LIVING0035	Used junk-food wrappers. They're covered in dirt.
; Take garabage
LIVING0036	I don't need to carry garbage around with me.

; Look at severed arm
LIVING0037	It's a severed arm! What happened to the rest of the body?

; Look at video disc #1
LIVING0038	A standard video disc.

; Look at right cupboard
LIVING0039	It's just a cupboard.
; On discovering severed arm in right cupboard
LIVING0040	OH SHIT! Thathat's someone's arm! What the hell is going on here?

; Attemt to go through medbay door while fire is still blazing
LIVING0041	The room has been automatically sealed. I think I can see a fire through the door!

; On entering room while fridge is hanging 1st
LIVING0042	There's a horrible smell coming from that fridge. I feel sick!
; On entering room while fridge is hanging 2nd
LIVING0084	The stench is getting worse and worse. I feel like puking.
; On entering room while fridge is hanging 3rd
LIVING0085	My throat feels like it's burning. I don't think I can take this smell much longer.

; Look at screen
LIVING0043	It's a console for viewing video discs.
; Take screen
LIVING0044	It won't do anything without a video disc.
; Use mirror with screen
LIVING0045	Seems to fit perfectly on there.
; Use metal box with screen
LIVING0046	That's not right. I don't need the box there. Maybe I'm thinking about things too indirectly.
; Use video disc #1 with screen
LIVING0047	This is Replacement Lab Technician Arthur Anderson making my first scheduled report. I've been here a week and things haven't been as I expected.
LIVING0048	They keep me working in the upper lab doing routine sample analyses. It's a waste of my time but they don't want me to go into the main lab chamber.
LIVING0049	I told Commander Artemis Trend that I hadn't travelled all this way to do monkey work, but he wasn't interested.
LIVING0050	The work wouldn't be so bad were it not for the tension on board. Everyone is keeping to themselves and none of them want to talk much...
LIVING0051	They're quick to dismiss any talk about what happened to my predecessor or what it is they're working on down there.
LIVING0052	One thing I'm sure of is that they really don't want me here. Only Professor Ericson is remotely hospitable towards me.
LIVING0053	But even she's evasive. At least she's kind to me though. Something is definitely going on here... they're scared of something. 
LIVING0054	I've heard them calling the main lab the 'White Chamber', I don't know why since I'm not allowed in there.
LIVING0055	Goodwin and Wyles hate going anywhere near it. I've seen Goodwin go in a couple of times when they've needed him but always briefly and reluctantly.
LIVING0056	I'll keep investigating, but I don't want to push them too hard. The atmosphere around here is tense enough as it is.
; Use video disc #2 with screen
LIVING0057	Officer Richard Wyles is missing! Prof. Ericson woke me up yesterday morning for a meeting in the living room to discuss what had happened...
LIVING0058	Dr. Goodwin said he was working late into the night and went looking for Wyles when he realised his medical laser wasn't working.
LIVING0059	This place is small so it wasn't long before he realised he wasn't anywhere to be found.
LIVING0060	He said he woke the Commander and the pair spent the night searching the station to no avail; even the lifepod is still docked.
LIVING0061	With no answers to this mystery, everyone's reaching breaking point. Even I'm starting to feel just as paranoid and tense as the rest of them.
LIVING0062	I think at this point it's becoming just a question of who will snap under the pressure first. I strongly urge you to send a new team here.
LIVING0063	If these guys don't get away from this place I fear things are only going to get worse. No one trusts anyone anymore.
LIVING0064	They're particularly suspicious of me, as I'm the new arrival. Even Sarah... I mean Prof. Ericson, is growing more wary of talking to me.
LIVING0065	She's been spending more and more of her time down in the White Chamber. I know it's not scientific, but when I look in her eyes she seems... lost somehow.
LIVING0066	I had a drink with Dr. Goodwin. It's the first time he's really talked to me properly since I arrived. Though what he said made little sense.
LIVING0067	He's convinced Wyles was taken by the 'artefact' they're studying down there. Apparently Wyles wanted them to get rid of it.
LIVING0068	Since my last report I've overheard mention of the artefact several times. Their opinions on it seem mixed and conflicting.
LIVING0069	This all worries me. Again I urge you please send a relief crew as soon as possible.
; Use video disc #3 with screen
LIVING0070	I'm making this recording just in case someone finds it, not that it'll do any good. I hope someone watches this. I want people to know what happened here.
LIVING0071	I found out the Commander intercepted my last two reports. I confronted him about it, but he's convinced I'm an agent working for Cyclavir Hypercorp.
LIVING0072	I argued with him. But he thinks he's being generous enough by not just spacing me the moment he found out I was sending reports back.
LIVING0073	I tried to explain that the company had just asked me to submit observations, but he wasn't having any of it. I suppose I can't really blame him.
LIVING0074	But none of that matters now. I'll be lucky if I'm alive much longer. Dr. Goodwin is dead. Sarah found him chewed up in the main ventilation system.
LIVING0075	Everyone knows it wasn't an accident. We're being killed out here. Inevitably, they turned on me. Trend thinks it all started when I came on board.
LIVING0076	They've locked me here in the quarantine chamber. I think they're sealing off the vent room. I'm not sure what they think that will achieve.
LIVING0077	I don't know what's going on here, I'm scared and alone. I don't know if one of them is a murderer or if that damned artefact is responsible for all of this.
LIVING0078	Either way I no longer care... I just want to get off this cursed station. I found a way to open the quarantine seal and I'll be heading for the life-pod.
LIVING0079	I don't know if I'll make it so I'm leaving this final recording as a record of what happened here. To whoever finds this... good luck.

; Look at table switch
LIVING0080	This should control the table.
; Press table switch with mouth chasm open
LIVING0081	It's not working. I can't close the mouth.
; Press table switch with mirror in place
LIVING0082	It won't work with the mirror in place.

; Look at torso
LIVING0083	That fridge isn't going anywhere with that mangled body jammed in there! I wish I'd left it up there now!


; //////////////////////////////////////////////////////////////////////
; 06 - SLEEPING QUARTERS
; //////////////////////////////////////////////////////////////////////

; Room regions
SLEEPQ0001	Shower Panel
SLEEPQ0002	Hair
SLEEPQ0003	Mirror
SLEEPQ0004	Blanket
SLEEPQ0005	Note
SLEEPQ0006	Video Disc
SLEEPQ0007	Door

; Look at blanket
SLEEPQ0008	A warm looking blanket.

; Look at video disc
SLEEPQ0009	A pre-recorded video disc.

; After nearly being sucked into space
SLEEPQ0010	Space!? What the hell! Where did the beach go?

; Try to go through door after being sucked out once
SLEEPQ0011	I don't want to go back out there. I barely survived last time.
; Keep trying to go through door
SLEEPQ0019	I really don't think that's a good idea.
; Keep trying to go through door
SLEEPQ0020	Okay. I'll give it a try.

; Look into mirror
SLEEPQ0012	So that's me. Not bad, considering...

; Look at notes
SLEEPQ0013	A hand written note. Weird... most people use computers nowadays.

; After player been stabbed and wakes up in sleeping quarters
SLEEPQ0014	What the hell just happened?! Was that even real? What is this place doing to me?

; Look at head in the water
SLEEPQ0015	Is that..? Oh come on, don't tell me that's hair in there...
; After head cutscene
SLEEPQ0016	A severed head!? Is this thing still alive? ... What the hell am I even thinking?

; Look a at shower control panel
SLEEPQ0017	This controls the shower and toilet compartment.
; Open shower unit using panel while it is locked
SLEEPQ0018	It's not responding.

; //////////////////////////////////////////////////////////////////////
; 07 - LAB
; //////////////////////////////////////////////////////////////////////

; Room regions
THELAB0001	Scope
THELAB0002	Elevator
THELAB0003	Speaker
THELAB0004	Tools
THELAB0005	Blackboard
THELAB0006	Projector System
THELAB0007	Video Player
THELAB0008	Batteries
THELAB0009	Laser Cutter
THELAB0010	Scalpel
THELAB0011	Sample Dish
THELAB0012	Door
THELAB0013	Axe

; Can't see various objects while being tortured
THELAB0014	I can't see from here.
; Can't reach various objects while being tortured
THELAB0015	I can't reach it.

; Look at axe
THELAB0016	Someone has jammed an axe in the lift control panel.

; Look at batteries
THELAB0017	They're the batteries from the video... that was horrible.

; Look at clean blackboard
THELAB0018	The blackboard looks clean. Somehow that feels ominous.
; Look at marked blackboard
THELAB0019	There are some strange chalk marks on the board.
; Look at heavily marked blackboard
THELAB0020	That shape. I know I remember it... but from where?
; Wipe clean blackboard
THELAB0021	The blackboard is clean already.
; Wipe marked blackboard
THELAB0022	I don't want to wipe away the chalk markings. I think they mean something.
; Examine fully marked blackboard (This is foreshadowing for the comedy ending)
THELAB0051	That's the artefact. I remember now. I'm sure I've seen all of this before.
THELAB0052	But I feel like something is coming. Something different... something surprising!

; Look at elevator
THELAB0023	I wonder where this leads?
; Use elevator
THELAB0024	Damn! It's broken... Looks like the panel's been smashed.

; Look at laser cutter
THELAB0025	I might be able to reach it.
; On taking the cutter
THELAB0026	Fuck! I got the cutter, but it's not working.

; Look at scalpel
THELAB0027	A medical scalpel.

; Look at video player
THELAB0028	This looks like antique equipment. It's for playing video tapes.
; Look at video player while strapped down
THELAB0029	It started when I put the tape in that player.
; Use video player
THELAB0030	It won't do anything without a video cassette.
; Use video player while strapped down
THELAB0031	If only I could stop the tape. Maybe that'd work.
; After inserting tape into player
THELAB0032	What the...?  That's me!
; After throwing cutter at video player
THELAB0033	I feel sick... what the hell was that?
; Use video discs with video player
THELAB0050	This doesn't play video discs. It's designed for old video tapes.	

; Look at projector system
THELAB0034	This looks like an old projector system. I think it's connected to that old video player.
; Look at projector system while strapped down
THELAB0035	It's projecting that sick torture video from the cassette player.
; Use projector system
THELAB0036	I can't get it to do anything on its own. Maybe I should try the video player.

; Look at sample dish
THELAB0037	Some kind of tissue sample in an air-tight dish. There's a label on it.

; Look at scope
THELAB0038	I recognise this, it's a 7777 Zentradi series proto-analyser.
; Use scope
THELAB0039	I'd need some kind of sample dish to use with it.
; Use sample with scope
THELAB0040	I recognise this. The tissue has been extracted specially to store a clean sample of DNA.

; Look at speaker
THELAB0041	It's a speaker. I remember having speakers like this when I was a kid.
; Use speaker
THELAB0042	There's not much I can do with it.

; Look at tools
THELAB0043	A selection of bloody and rusted lab instruments.
; Take tools
THELAB0044	They've rusted to the surface. I doubt they'd be of much use in that state anyway.

; Try to walk through welded door
THELAB0045	It's welded shut so I can't get through.
; Try to open welded door
THELAB0046	I'm going to need something really powerful to get through this door.
; Look at welded door
THELAB0047	The seal on the door has been welded shut. I wonder why?
; Use axe on welded door
THELAB0048	That's not going to do it. This is a very thick door that's been welded shut.
; Place explosives in front of welded door
THELAB0049	There. Now if I could find some way to ignite this...

; //////////////////////////////////////////////////////////////////////
; 08 - MEDBAY
; //////////////////////////////////////////////////////////////////////

; Room regions
MEDBAY0001	Bed
MEDBAY0002	Dirty Wall
MEDBAY0003	Yes
MEDBAY0004	No
MEDBAY0005	Control Panel
MEDBAY0006	Shower Unit
MEDBAY0007	Video Disc
MEDBAY0008	Body
MEDBAY0009	Laser Desk
MEDBAY0010	Unsealed Box
MEDBAY0011	Power Compartment
MEDBAY0012	Door
MEDBAY0013	Filing Cabinet

; Eye box regions
MEDBAY0014	Leave
MEDBAY0015	Eyes

; Filing cabinet regions
MEDBAY0016	Leave
MEDBAY0017	Drawers
MEDBAY0018	Broken Drawer
MEDBAY0019	Envelope

; Look at bed with full body
MEDBAY0020	Well it's all there... but I don't even know why I was doing it in the first place. He looks so cold.
; Look at bed with partial body
MEDBAY0021	The body parts seem to fit perfectly into the grooves.
; Look at bed with full body under blanket
MEDBAY0022	He seems less disturbing with the blanket over him. Maybe I should leave him in peace.
; Look at bed with nothing on it
MEDBAY0023	It's a bed with body shaped burn marks across it.
; Use bed with body parts on it
MEDBAY0024	The bed's kind of occupied already.
; Use bed with nothing on it
MEDBAY0025	I don't think I could sleep even if I wanted to.
; Use eyes on bed without head
MEDBAY0026	There's nowhere to fit the eyes. What the hell am I doing anyway?
; Complete body message #1
MEDBAY0027	There, it's complete!
; Complete body message #2
MEDBAY0028	... ... ... ... Nothing's happening ...
; Complete body message #3
MEDBAY0029	I guess I don't know what I expected. What is this place doing to me? Why did I bring all these body parts here?
; Use blanket on complete body
MEDBAY0030	There, I guess that seems more respectful.
; Use blanket on incomplete body
MEDBAY0031	It's not finished yet.
; Use Dr Salt on complete body
MEDBAY0032	Not even Dr. Salt can help him now.
; Use Dr Salt on incomplete body
MEDBAY0033	I don't want to get the sheets wet.

; Look at body in quarantine chamber
MEDBAY0034	Those body parts... how did they get in there?
; After players has become trapped in quarantine chamber
MEDBAY0035	I'm trapped!
; Try to touch body in chamber
MEDBAY0036	I can't get inside there.

; Look at broken drawer
MEDBAY0037	The seal on this drawer is broken.

; Look at locked drawer
MEDBAY0038	Most of these drawers are locked. There doesn't seem to be any obvious way to unlock them.
; Try to open locked drawer
MEDBAY0039	They're surprisingly sturdy. I doubt I could force them open.
; Try to axe locked drawer
MEDBAY0040	That's not going to get them open. I'll just end up damaging the surface.
; Try to scalpel locked drawer
MEDBAY0041	I think the lock is a bit more secure than that.

; Look at brown envelope
MEDBAY0042	A brown envelope with something inside.

; Look at power compartment
MEDBAY0043	There's a compartment under the laser unit.
; Put batteries in compartment
MEDBAY0044	That worked, the laser should be powered now.

; Look at video disc
MEDBAY0045	A recorded video disc.
; Try to take video disc in quarantine chamber
MEDBAY0046	I can't get inside the chamber.

; Look at eyes in box
MEDBAY0047	That's disgusting! What kind of sick bastard seals eyes into a box?

; Look at filing cabinet
MEDBAY0048	It's a filing cabinet.

; Look at medical laser
MEDBAY0049	It's a medical laser.
; Try to fire laser into fridge
MEDBAY0050	I don't want to risk firing it at that fridge. I don't know what might happen, but I doubt it would be good.
; Try to fire unpowered laser
MEDBAY0051	Not working. Could be the power source. 
; Box unsealed using laser
MEDBAY0052	The laser cut through the seal on the box. I hope it hasn't damaged the contents. Whatever they are...

; Look at quarantine panel
MEDBAY0053	Voice controlled panel that operates the quarantine chamber.
; Use quarantine panel
MEDBAY0054	It'll only respond to the voice of an authorised doctor. I'll never get this working.
; Use head with quarantine panel
MEDBAY0055	Looks like it's not going to talk. I suppose he's already said the last he has to say.

; Look at shower unit
MEDBAY0056	It's a standard shower unit.
; Try to use shower unit
MEDBAY0057	I think it's broken. I can't get it to open.
; Try to use shower unit from outside quarantie chamber
MEDBAY0058	I can't get inside the chamber

; Look at opened metal box
MEDBAY0059	The laser cut the box open nicely.

; Look at wall in quarantine chamber
MEDBAY0060	There's something etched in the dirt.
; SUBTITLE - Wall message 1
MEDBAY0061	Do you want to leave?
; SUBTITLE - Wall message 2
MEDBAY0062	And risk spreading the disease?
; SUBTITLE - Wall message 3
MEDBAY0063	Leave... Accept the consequences!

; //////////////////////////////////////////////////////////////////////
; 09 - BEACH
; //////////////////////////////////////////////////////////////////////

; Room regions
ABEACH0001	Door
ABEACH0002	Sea
ABEACH0003	Forest

; Look at forest
ABEACH0004	These are real trees alright... but how is that possible?
; Use forest
ABEACH0005	I can't make a path through. The trees are too dense.

; Look at sea
ABEACH0006	This really looks like the sea. What's going on?
; Use sea #1
ABEACH0007	This feels like real water... I don't understand how any of this is possible. I was on a space station...
; Use sea #2
ABEACH0008	Maybe I could swim away from here, but it doesn't look there's anything around to swim to.


; //////////////////////////////////////////////////////////////////////
; 10 - FAN ROOM
; //////////////////////////////////////////////////////////////////////

; Room regions
THEFAN0001	Vent
THEFAN0002	Grinder
THEFAN0003	Door

; Look at grinder
THEFAN0004	It's some twisted grinder.
; Touch grinder
THEFAN0005	It's covered in filth, what is this stuff?

; Walk into sealed vent
THEFAN0006	It's sealed, I can't get through.
; Look at vent
THEFAN0007	I wonder if this vent can take me down beneath the lift shaft.
; Use vent
THEFAN0008	I can't get the panel off.
; Use axe on vent
THEFAN0009	Even the axe can't make a dent in it.


; //////////////////////////////////////////////////////////////////////
; 11 - THE WHITE CHAMBER
; //////////////////////////////////////////////////////////////////////

; Room regions
WCHAMB0001	Shaft
WCHAMB0002	Artefact
WCHAMB0003	Body
WCHAMB0004	Equipment

; Look at artefact
WCHAMB0005	So this is it. This is the artefact. I don't know what to say.
