CONFIG0001	true
BLACKC0007	I cavi non sembrano collegati in modo appropriato.
; Interact with split wires
BLACKC0008	Fatto… ho collegato i cavi.
; Look at joined wires
BLACKC0009	Ora sono collegati.
; Interact with joined wires
BLACKC0010	Li ho già sistemati.
; Use items on the wires
BLACKC0025	Non credo ci sia altro da fare con questi cavi.

; Windows open to reveal space outside
BLACKC0011	Ma che diavolo…!? Sono nello spazio!

; Door opens to reveal a way out
BLACKC0012	Sembra esserci un’uscita.

; Look at windows
BLACKC0013	Questo è sicuramente lo spazio, ma non vedo alcun segno di astronavi o altro.
; Interact with windows
BLACKC0014	Le vetrate sono resistenti. Oltretutto, se le rompessi, sarei risucchiata fuori.
; Use items on windows
BLACKC0026	Non voglio danneggiare le vetrate. Ho già visto quali effetti causa la depressurizzazione esplosiva alle persone.

; //////////////////////////////////////////////////////////////////////
; 02 - NAVIGATION CENTRE
; //////////////////////////////////////////////////////////////////////

; Room Regions
NAVCEN0001	Porta
NAVCEN0002	Pannello a muro
NAVCEN0003	Console
NAVCEN0004	Macchie

; Navigation Console Regions
NAVCEN0005	Esci
NAVCEN0006	Ruota a sinistra
NAVCEN0007	Ruota a destra
NAVCEN0008	On
NAVCEN0009	Off

; Cradle Console Regions
NAVCEN0010	Esci
NAVCEN0011	Blocco di sicurezza
NAVCEN0012	Abbassa il piano
NAVCEN0013	Alza il piano

NAVCEN0025	Impossibile tornare indietro
NAVCEN0026	Blocco di sicurezza attivato
NAVCEN0027	Blocco di sicurezza disattivato
NAVCEN0028	Schermo

; Look at console
NAVCEN0014	Sembra essere una specie di console di navigazione. Dovrebbe controllare in qualche modo la stazione.
; Try to use console while it has no power
NAVCEN0015	In questo momento sembra fuori uso. Ho bisogno di trovare un modo per ristabilire l’alimentazione.
; Use items with console
NAVCEN0016	Dubito che usare qualcosa qui possa essere d’aiuto.

; SUBTITLE - Console Title
NAVCEN0024	Controllo Rotazione della Stazione e Energia Solare

; Look at stains
NAVCEN0017	Cosa sono queste macchie sul pavimento? E queste sulla parete?! Sembra sangue!!
; Touch stains
NAVCEN0018	Qualunque cosa siano, sembrano incrostate sulla superficie. Cos’è successo qui dentro?
; Use items with stains
NAVCEN0019	Quale sarebbe il punto?

; Look at wall panel
NAVCEN0020	Sono sicura che questo controlli un sistema in grado di alzare o abbassare una parte della stazione... Ma…come mai lo so?
; Try to use wall panel while it has no power
NAVCEN0021	Sembra che non riceva energia.
; Use items with wall panel
NAVCEN0022	Non posso usare nulla qui. Non ci sono aperture o altro.
; Look at wall panel display
NAVCEN0029	Sembrerebbe che questa parte della stazione possa essere abbassata.
; Use wall panel display
NAVCEN0030	Penso che si controlli con i tasti qui sotto.

; Try to walk through top door with power down (Player has been tampering with the power system if this has happened)
NAVCEN0023	È strano, non si vuole aprire. Immagino ci sia un problema con il sistema di alimentazione.

; //////////////////////////////////////////////////////////////////////
; 03 - STORE ROOM
; //////////////////////////////////////////////////////////////////////

; Room Regions
STORER0001	Rivista
STORER0002	Console
STORER0003	Schermo
STORER0004	Porta
STORER0005	Camice
STORER0006	Scanner
STORER0007	Porta
STORER0008	Esplosivo
STORER0009	Cella frigorifera

; MES Article Regions
STORER0010	Esci

; Can't reach various objects because of the locked gate
STORER0011	Non riesco a vedere da qui.

; Can't properly see various objects because of the locked gate
STORER0012	Non riesco a raggiungerlo attraverso la rete.

; Look at explosive
STORER0013	Un barile di potente esplosivo.
; Use axe on explosive
; Use items on the explosive
STORER0014	Non sembra una buona idea tentare esperimenti con questa roba.

; Look at big freezer door
STORER0015	Questa grossa porta deve condurre alla cella frigorifera.

; Attempt to go through door while it's closed
STORER0016	Non posso entrare finché la porta è chiusa.

; Look at closed gate
STORER0017	Questa porta mi impedisce l’accesso al magazzino.

; Touch gate
STORER0018	Sembra molto robusta.
; Use items on gate
STORER0019	Credo che usare lo scanner sia l’unico modo di aprire questa porta.

; Look at lab coat
STORER0021	Un camice da laboratorio sporco. Sembra esserci qualcosa nella tasca.
; Look at empty lab coat
STORER0020	Non c’è più nulla nel camice, non mi serve.
; Search lab coat
STORER0023	Nella tasca ci sono una tessera di identificazione vergine e una specie di chiave di sblocco.
; Search empty lab coat
STORER0022	Non c’è nient’altro nel camice e puzza come se fosse sporco di feci o qualcosa del genere, quindi penso che lo lascerò al suo posto.

; Use items on lab coat
STORER0024	Non penso che usando oggetti a caso sul camice otterrò qualcosa.


; Look at MES console
STORER0026	Un MES. È una console per videogames molto vecchia.
; Use MES console 1st time
STORER0027	Non ho tempo per giocare.
; Use MES console 2nd time (The comment about dying in games here is a vital clue)
STORER0028	Non voglio. Questi vecchi videogiochi sono troppo stupidi. Vai sempre avanti finché muori o sfasci il gamepad contro il muro.
; Use MES console 3rd time (This comment leads into a game easter egg)
STORER0029	Credo che gli darò un’occhiatina. Che male può fare?
; Use MES console 4th time onwards
STORER0030	No, basta… non dopo l’ultima volta!
; Use items with MES console
STORER0025	C’è già la cartuccia di un gioco inserita.

; Look at MES magazine
STORER0036	È una vecchia rivista di videogiochi.
; Use items on MES magazine
STORER0037	È inutile. È solo una rivista.

; Look at screen
STORER0038	Un monitor attaccato a quella vecchia console. Ma non trasmette le immagini.
; Take screen
STORER0039	Non credo di poterlo tirare giù da lì senza romperlo.
; Use items on screen
STORER0040	A quale scopo?

; Look at scanner
STORER0032	È uno scanner di tessere d’identificazione per l’ingresso.
; Use scanner
STORER0033	Mi servirà una tessera di identificazione per questo.
; Use unprogrammed ID card on scanner
STORER0031	Non funziona, sembra che questa tessera non sia associata ad un campione di DNA autorizzato.
; Use override key on scanner
STORER0034	Funziona con una tessera di identificazione, non con questo tipo di chiave.
; Use any other items on scanner
STORER0035	Questo non va nello scanner.

; Return from MES world
STORER0041	Sono tornata! Non voglio neanche sapere cosa è successo là.

; //////////////////////////////////////////////////////////////////////
; 04 - COMPUTER ROOM
; //////////////////////////////////////////////////////////////////////

; Room regions
COMPUT0001	Porta
COMPUT0002	Sequenziatore 
COMPUT0003	Unità energia di emergenza
COMPUT0004	Computer di sinistra
COMPUT0005	Computer di destra

; Backup panel regions
COMPUT0006	Esci
COMPUT0007	Slot per chiavi
COMPUT0008	Placca vuota
COMPUT0009	Chiave di sblocco
COMPUT0055	Comunicazioni
COMPUT0056	Sistemi medicali
COMPUT0057	Piattaforma di stoccaggio
COMPUT0058	Rotazione della stazione
COMPUT0059	Supporto vitale
COMPUT0060	In attesa
COMPUT0061	Connesso
COMPUT0062	Errore

; E-Mail computer regions
COMPUT0010	Esci
COMPUT0011	Messaggio 1
COMPUT0012	Messaggio 2
COMPUT0013	Messaggio 3
COMPUT0014	Messaggio 4

; Droid computer regions
COMPUT0015	Rosso
COMPUT0016	Verde
COMPUT0017	Porpora
COMPUT0018	Giallo
COMPUT0019	Bianco
COMPUT0020	Azzurro
COMPUT0021	Esci

; Look at back up unit
COMPUT0022	Sembrerebbe un’unità destinata a fornire energia d’emergenza a particolari sistemi.

; Use back up panel once power has been restored to station
COMPUT0023	Ora che ho ridato energia alla stazione questo sistema di emergenza è inutile.

; Use override key on backup panel as a whole
COMPUT0024	Mi dovrò avvicinare.


; Use anything else on backup panel as a whole
COMPUT0025	Non posso fare nulla senza avvicinarmi.



; Look at DNA sequencer
COMPUT0026	È un sequenziatore di DNA, usato per immagazzinare l’impronta genetica sulle tessere di identificazione.

; Touch DNA sequencer
COMPUT0027	Questo non funziona senza un campione sterile di DNA.


; Insert ID card without DNA sample
COMPUT0028	Non funziona se non inserisco prima un campione di DNA.

; Insert DNA sample
COMPUT0029	Fatto. Ora devo solo inserire la tessera da programmare.


; Insert ID card after DNA sample
COMPUT0030	In questo modo dovrebbe aver trasferito il campione di dati sulla tessera.

; Insert already programmed ID card
COMPUT0031	La tessera è già stata programmata.


; Look at communications computer
COMPUT0032	È una console di comunicazione.
; Use communications computer without power
COMPUT0033	Non funziona. Immagino non ci sia corrente.

; SUBTITLE - Initial computer screen
COMPUT0042	Console di Comunicazione – Seleziona un messaggio.

; Girl summarises first computer message
COMPUT0043	Sembra che qualcuno abbia provato a inviare un messaggio di soccorso ma non è stato trasmesso.
; Girl summarises second computer message
COMPUT0044	Stando a questo da qualche parte ci sarebbe un appunto utile per sbloccare il software di controllo del droide.

; Girl summarises third computer message
COMPUT0045	Sembrerebbe una pubblicità di un qualche concerto.
; Girl summarises fourth computer message
COMPUT0046	Questo messaggio contiene una richiesta di informazioni su una nave scomparsa.



; Look at override key in the backup unit
COMPUT0034	È la chiave che ho inserito.


; Look at slot in backup unit
COMPUT0035	Sembra uno slot per un qualche tipo di chiave.

; Use slot in backup unit
COMPUT0036	Non posso farla funzionare senza la chiave giusta.

; Look at life support slot
COMPUT0037	È liscio, al contrario degli slot negli altri moduli.


; Use life support slot
COMPUT0038	È già connesso. Per fortuna.

; Use override key on life support slot
COMPUT0039	Sembra che il sistema di supporto vitale sia sempre attivo. Sarebbe stupido spegnerlo.

; Look at droid computer
COMPUT0040	Dannazione! Niente corrente.

; Use droid computer without power
COMPUT0041	È indicato come console di controllo per il droide.

; SUBTITLE - Droid control console
COMPUT0047	Console di Controllo Droide – Inserisci la sequenza di colori

; Look at analyser
COMPUT0048	Questo è una sorta di analizzatore.


; SUBTITLE - Analyser
COMPUT0049	Analizzatore – Disabilitato a causa della presenza di DNA umano nell’apparecchiatura.

; Look at analyser compartment
COMPUT0050	È una specie di scomparto.

' Girl's comment when opening compartment 
COMPUT0051	C’è scritto che potrebbe essere pericoloso. Non sono sicura che metterci mano sia una buona idea.

; Look at wire
COMPUT0052	Sembra che questo filo controlli lo sblocco del sistema di sicurezza.


; Take wire
COMPUT0053	Avrò bisogno di qualcosa di più affilato per tagliarlo.
; Try to use axe with wire
COMPUT0054	È troppo grande per entrare nel pannello. Avrò bisogno di uno strumento più piccolo.



; //////////////////////////////////////////////////////////////////////
; 05 - LIVING ROOM
; //////////////////////////////////////////////////////////////////////

; Room regions
LIVING0001	Catena


LIVING0002	Frigorifero


LIVING0003	Voragine


LIVING0004	Busto


LIVING0005	Porta


LIVING0006	Interruttore


LIVING0007	Credenza


LIVING0008	Schermo video


LIVING0009	Estintore



; Left cupboard regions
LIVING0010	Lattina

LIVING0011	Strano contenitore


LIVING0012	Cibo ammuffito


LIVING0013	Portapranzo


LIVING0014	Avanzi


LIVING0015	Esci


; Right cupboard regions
LIVING0016	Braccio


LIVING0017	Videodisco


LIVING0018	Esci



; Look at chain
LIVING0019	Questa catena tiene su quello strano frigorifero.


; Break chain with hands
LIVING0020	Dubito di poterla spezzare con le mani.

; Axe chain with chasm closed
LIVING0021	Così farei venire giù il frigorifero. Ma si schianterebbe sul pavimento. Meglio che trovi un modo di sistemarlo prima di tagliare la catena.


; Axe chain with chasm opened
LIVING0022	Qualcosa l’ha bloccato.


; Look at fire extinguisher
LIVING0023	Un grosso estintore.


; Look at swinging fridge
LIVING0024	Un frigorifero?!… Appeso al soffitto?! Puzza in modo terrificante. Spero di riuscire a liberarmene.

; Reach for swinging fridge
LIVING0025	Non lo raggiungerò mai da qui.


; Look at left cupboard
LIVING0026	È solo una credenza.

; Look at floor chasm
LIVING0027	Cosa diavolo è questo?! È orrendo. Non so dove conduce e non voglio saperlo.
; Touch floor chasm
LIVING0028	Non ho la minima intenzione di avvicinarmi.


; Look at metal box in cupboard
LIVING0029	Un robusto contenitore di metallo. Sembra sigillato.

; Look at Dr. Salt canned drink in cupboard
LIVING0030	Se ho indovinato, è una bevanda frizzante.


; Look at mouldy foods
LIVING0031	Questo cibo è nauseante. È completamente ammuffito.

; Take mouldy foods
LIVING0032	Non lo voglio toccare! Chissà cosa potrei prendermi?


; Look at lunch box
LIVING0033	È un portapranzo, chiuso. C’è dell’uva dentro?



; Take lunch box
LIVING0034	No grazie. Non credo di essere COSÍ affamata.


; Look at garbage
LIVING0035	Confezioni di snack, vuote. Sono piene di polvere.


; Take garabage
LIVING0036	Non mi serve portare in giro della spazzatura.


; Look at severed arm
LIVING0037	È un braccio mozzato! Cos’è accaduto al resto del corpo?


; Look at video disc #1
LIVING0038	Un normale videodisco.


; Look at right cupboard
LIVING0039	È solo una credenza.


; On discovering severed arm in right cupboard
LIVING0040	OH MERDA! È il braccio di qualcuno! Cosa cazzo sta succedendo qui?


; Attemt to go through medbay door while fire is still blazing
LIVING0041	La stanza è stata sigillata automaticamente. Mi pare di vedere del fuoco attraverso la porta!


; On entering room while fridge is hanging 1st
LIVING0042	Da quel frigo proviene una puzza terribile. Mi sento male!


; On entering room while fridge is hanging 2nd
LIVING0084	Il tanfo è sempre più forte. Sento di stare per vomitare.

; On entering room while fridge is hanging 3rd
LIVING0085	My Mi brucia la gola. Non penso di poter respirare questa puzza ancora per molto.


; Look at screen
LIVING0043	È una console per vedere i videodischi.

; Take screen
LIVING0044	Non serve a nulla senza un videodisco.
; Use mirror with screen
LIVING0045	Sembra stabile qui sopra.

; Use metal box with screen
LIVING0046	Così non va. Il contenitore non va bene là. Dovrei pensare in modo più pratico.

; Use video disc #1 with screen
LIVING0047	Sono il Sostituto Tecnico di Laboratorio Arthur Anderson e questo è il mio primo rapporto. Sono qui da una settimana e le cose non vanno come mi sarei aspettato.

LIVING0048	Mi fanno lavorare nel laboratorio di sopra su semplici analisi di campioni. È uno spreco del mio tempo, ma loro non vogliono che vada nel laboratorio principale.


LIVING0049	Ho detto al Comandante Artemis Trend che non ho viaggiato così tanto per fare un lavoro da automa, ma non mi ha dato retta.


LIVING0050	Il lavoro non sarebbe poi così male se non fosse per la tensione a bordo. Tutti stanno per i fatti loro e nessuno ha molta voglia di parlare…

LIVING0051	Evitano accuratamente ogni parola su quanto è accaduto al mio predecessore o sulla cosa che stanno analizzando laggiù.
LIVING0052	Una cosa di cui sono sicuro è che non mi vogliono tra i piedi. Solo il Professor Ericson mi dimostra un po’ di cordialità
LIVING0053	Ma persino lei è sfuggente. Beh… almeno è gentile. Qui sta sicuramente succedendo qualcosa…qualcosa che li spaventa.


LIVING0054	Ho sentito che chiamano il laboratorio principale la “Camera Bianca”, ma non so perché, dato che non sono autorizzato ad accedervi.

LIVING0055	Goodwin e Wyles detestano anche solo avvicinarsi. Ho visto Goodwin andarci un paio di volte perché avevano bisogno di lui, ma sempre con riluttanza.


LIVING0056	Continuerò ad indagare, ma non voglio pressarli troppo. L’atmosfera qui è già abbastanza pesante.

; Use video disc #2 with screen
LIVING0057	L’ufficiale Richard Wyles è scomparso! Ieri mattina il Prof. Ericson mi ha svegliato e ci siamo riuniti nella sala comune per discutere dell’accaduto.

LIVING0058	Il Dr. Goodwin ha detto che ha lavorato fino a tardi e si è messo alla ricerca di Wyles quando ha notato che il suo laser medico aveva smesso di funzionare.

LIVING0059	Questo posto è piccolo, quindi non ci è voluto molto per capire che non c’era più traccia di lui.
LIVING0060	Ha detto di aver svegliato il Comandante e insieme hanno passato la notte setacciando la stazione, senza risultato; la capsula di salvataggio è ancora al suo posto.


LIVING0061	Senza alcuna spiegazione per questo mistero, stanno tutti raggiungendo il punto limite. Anch’io sto cominciando a sentirmi paranoico e teso come loro.

LIVING0062	Penso che a questo punto sia solo questione di tempo prima che qualcuno scoppi. È necessario che mandiate qui una nuova squadra.

LIVING0063	Se queste persone non andranno via da qui, temo che le cose possano solo peggiorare. Nessuno si fida più di nessuno.

LIVING0064	Sono molto sospettosi nei miei confronti, dato che sono l’ultimo arrivato. Anche Sarah… voglio dire il Prof. Ericson, è sempre più riluttante a rivolgermi la parola.


LIVING0065	Lei trascorre sempre più tempo giù, nella Camera Bianca. Anche se non è una diagnosi scientifica, quando la guardo negli occhi lei sembra… in qualche modo persa.

LIVING0066	Mi sono fermato a bere qualcosa con il Dr. Goodwin. È stata la prima volta che abbiamo parlato normalmente da quando sono qui. Anche se quello che mi ha detto non aveva molto senso.


LIVING0067	È convinto che Wyles sia stato rapito dall’artefatto che stanno esaminando laggiù. A quanto pare Wyles voleva sbarazzarsene.


LIVING0068	Da quando ho fatto l’ultimo rapporto ho inteso nominare diverse volte l’artefatto. Le loro opinioni su di esso sembrano diverse e contrastanti.


LIVING0069	Tutto questo mi preoccupa. È veramente urgente che mandiate una squadra di soccorso al più presto.


; Use video disc #3 with screen
LIVING0070	Sto registrando questo messaggio in caso qualcuno lo trovi, non per altro. Spero che qualcuno lo guardi. Voglio che la gente sappia cosa è accaduto qui.

LIVING0071	Ho scoperto che il Comandante ha intercettato i miei ultimi due rapporti. Mi sono confrontato con lui sull’argomento, ma è convinto che io sia un agente al servizio della Cyclavir Hypercorp.

LIVING0072	Ho provato a convincerlo del contrario. Ma lui sostiene di essere già stato abbastanza generoso da non spararmi nello spazio quando ha scoperto che inviavo dei rapporti.


LIVING0073	Ho provato a spiegargli che la compagnia mi ha semplicemente chiesto di effettuare delle osservazioni, ma non ne ha voluto sapere. In realtà credo di non poterlo biasimare.
LIVING0074	Ma ora non importa. Sarò già abbastanza fortunato se sopravviverò più a lungo. Il Dr. Goodwin è morto. Sarah l’ha trovato maciullato nel sistema di ventilazione principale.

LIVING0075	Tutti sanno che non si è trattato di un incidente. Qualcuno ci sta uccidendo. Inevitabilmente, sospettano di me. Trend pensa che tutto sia cominciato quando sono giunto a bordo.


LIVING0076	Mi hanno chiuso qui, nella stanza di quarantena. Penso vogliano sigillare la sala di ventilazione. Ma non riesco a capire cosa vogliano ottenere con questo.

LIVING0077	Non so cosa stia accadendo qui, sono spaventato e solo. Non so se uno di loro è un assassino o quel dannato artefatto sia la causa di tutto questo.

LIVING0078	Comunque non ha più importanza... Voglio solo andarmene da questa maledetta stazione. Ho scoperto un modo per aprire la zona di quarantena, così potrò scappare usando la capsula di emergenza.

LIVING0079	Non so se ce la farò, quindi lascio qui questa registrazione che spiega cosa è accaduto qui. A chiunque la trovi… buona fortuna.


; Look at table switch
LIVING0080	Questo dovrebbe controllare il tavolo.

; Press table switch with mouth chasm open
LIVING0081	Non funziona. Non posso chiudere quella bocca.

; Press table switch with mirror in place
LIVING0082	Non funzionerà con lo specchio in quella posizione.


; Look at torso
LIVING0083	Quel frigorifero non andrà da nessuna parte con quel corpo dilaniato infilato dentro! Adesso vorrei averlo lasciato su!


; //////////////////////////////////////////////////////////////////////
; 06 - SLEEPING QUARTERS
; //////////////////////////////////////////////////////////////////////

; Room regions
SLEEPQ0001	Pannello doccia


SLEEPQ0002	Capelli


SLEEPQ0003	Specchio


SLEEPQ0004	Coperta


SLEEPQ0005	Appunto


SLEEPQ0006	Videodisco

SLEEPQ0007	Porta



; Look at blanket
SLEEPQ0008	Una calda coperta.


; Look at video disc
SLEEPQ0009	Un videodisco pre-registrato.


; After nearly being sucked into space
SLEEPQ0010	Spazio!? Cosa diavolo sta succedendo! Dov’è finita la spiaggia?


; Try to go through door after being sucked out once
SLEEPQ0011	Non voglio tornare là fuori. Me la sono cavata per un pelo l’ultima volta.

; Keep trying to go through door
SLEEPQ0019	Credo proprio che non sia una buona idea.

; Keep trying to go through door
SLEEPQ0020	Okay. Farò un tentativo.


; Look into mirror
SLEEPQ0012	Così questa sono io. Non male, considerando…


; Look at notes
SLEEPQ0013	Un appunto scritto a mano. Ridicolo… la maggior parte delle persone oggi usa il computer.


; After player been stabbed and wakes up in sleeping quarters
SLEEPQ0014	Cosa diavolo è successo?! Ciò che ho vissuto era reale? Cosa mi sta facendo questo posto?


; Look at head in the water
SLEEPQ0015	Cos’è...? Per favore, non dirmi che ci sono dei capelli lì dentro...

; After head cutscene
SLEEPQ0016	Una testa tagliata!? Questa cosa è ancora viva? ...Ma cosa diavolo vado anche solo a pensare?


; Look a at shower control panel
SLEEPQ0017	Questo controlla la doccia e il comparto della toilet.

; Open shower unit using panel while it is locked
SLEEPQ0018	Non dà segni di vita.


; //////////////////////////////////////////////////////////////////////
; 07 - LAB
; //////////////////////////////////////////////////////////////////////

; Room regions
THELAB0001	Microscopio


THELAB0002	Ascensore


THELAB0003	Altoparlante


THELAB0004	Strumenti


THELAB0005	Lavagna


THELAB0006	Proiettore


THELAB0007	Lettore video


THELAB0008	Batterie


THELAB0009	Laser da taglio


THELAB0010	Bisturi


THELAB0011	Tampone di coltura


THELAB0012	Porta


THELAB0013	Ascia


; Can't see various objects while being tortured
THELAB0014	Non riesco a vedere da qui.

; Can't reach various objects while being tortured
THELAB0015	Non ci arrivo.


; Look at axe
THELAB0016	Qualcuno ha conficcato un’ascia nel pannello di controllo dell’ascensore.


; Look at batteries
THELAB0017	Sono le batterie del video...è stato terribile.


; Look at clean blackboard
THELAB0018	La lavagna è pulita. In modo quasi spaventoso.


; Look at marked blackboard
THELAB0019	Ci sono degli strani segni di gesso sulla lavagna.

; Look at heavily marked blackboard
THELAB0020	Quel disegno. Mi ricorda qualcosa... ma cosa?

; Wipe clean blackboard
THELAB0021	La lavagna è già pulita.

; Wipe marked blackboard
THELAB0022	Non voglio cancellare i segni di gesso. Penso che abbiano un qualche significato.

; Examine fully marked blackboard (This is foreshadowing for the comedy ending)
THELAB0051	Quello è l’artefatto. Ora ricordo. Sono sicura di avere già visto tutto questo prima.


THELAB0052	Ma sento che qualcosa sta per accadere. Qualcosa di diverso…qualcosa di sorprendente!


; Look at elevator
THELAB0023	Mi chiedo dove conduca.

; Use elevator
THELAB0024	Dannazione! È rotto… Sembra che il pannello sia stato distrutto.


; Look at laser cutter
THELAB0025	Dovrei essere capace di raggiungerlo.

; On taking the cutter
THELAB0026	Cazzo! Ho il laser, ma non funziona.


; Look at scalpel
THELAB0027	Un bisturi medico.


; Look at video player
THELAB0028	Sembrerebbe un’antica apparecchiatura. Serve per leggere le videocassette.

; Look at video player while strapped down
THELAB0029	È cominciato quando ho inserito la cassetta nel lettore.

; Use video player
THELAB0030	Non posso fare nulla senza una videocassetta.
; Use video player while strapped down
THELAB0031	Se solo potessi fermare la cassetta. Magari così potrebbe funzionare.

; After inserting tape into player
THELAB0032	Ma cosa...? Sono io!

; After throwing cutter at video player
THELAB0033	Mi sento male... cosa diavolo era quello?

; Use video discs with video player
THELAB0050	Questo non legge i videodischi. È concepito per leggere vecchie videocassette.
	

; Look at projector system
THELAB0034	Assomiglia ad un vecchio sistema di proiezione. Penso sia connesso al videoregistratore.
; Look at projector system while strapped down
THELAB0035	Sta proiettando quell’orrendo video della tortura dal videoregistratore.

; Use projector system
THELAB0036	Non serve a nulla da solo. Magari dovrei provare il videoregistratore.


; Look at sample dish
THELAB0037	È una specie di tampone di coltura, in un disco sottovuoto. C’è sopra un’etichetta.


; Look at scope
THELAB0038	Lo riconosco, è un proto-analizzatore Zentradi serie 7777.


; Use scope
THELAB0039	Avrò bisogno di un qualche campione da usare assieme al microscopio.
; Use sample with scope
THELAB0040	Lo riconosco. Questo tampone è preparato appositamente per raccogliere campioni di DNA.

; Look at speaker
THELAB0041	È un altoparlante. Ricordo di averne avuti di simili quando ero ragazzina.
; Use speaker
THELAB0042	Non c’è molto che possa fare con questo.


; Look at tools
THELAB0043	Una serie di strumenti da laboratorio insanguinati e arrugginiti.

; Take tools
THELAB0044	Hanno la superficie arrugginita. Dubito che possano servire ancora in questo stato.

; Try to walk through welded door
THELAB0045	È chiusa ermeticamente, non posso passare.

; Try to open welded door
THELAB0046	Ho bisogno di qualcosa davvero potente per poter passare da questa porta.


; Look at welded door
THELAB0047	La porta è stata sigillata con una saldatura. Mi chiedo come mai.

; Use axe on welded door
THELAB0048	Così non va. Questa porta è molto spessa ed è stata saldata.


; Place explosives in front of welded door
THELAB0049	Ecco. Ora se riuscissi a trovare un modo per innescarlo...


; //////////////////////////////////////////////////////////////////////
; 08 - MEDBAY
; //////////////////////////////////////////////////////////////////////

; Room regions
MEDBAY0001	Letto
MEDBAY0002	Parete sporca
MEDBAY0003	Sì
MEDBAY0004	No
MEDBAY0005	Pannello di controllo
MEDBAY0006	Unità doccia
MEDBAY0007	Videodisco
MEDBAY0008	Corpo
MEDBAY0009	Tavolo del laser
MEDBAY0010	Scatola aperta
MEDBAY0011	Scomparto di alimentazione
MEDBAY0012	Porta
MEDBAY0013	Archivio

